"報告年度:2022","議題:能源管理"
"公司代號","公司名稱","使用率(再生能源/總能源)-使用率(再生能源/總能源)","資料範圍-資料範圍","取得驗證-取得驗證"
"=""2104""","國際中橡","無，國際中橡100%持有之子公司林園先進秉持配合國際標準和承擔節能減碳責任的原則，2023年已成功通過 ISO 50001 能源管理體系認證。除了現有的太陽能光電系統（共796.5瓩）之外，我們積極進行新的太陽能案場建設，以更進一步推動可持續能源使用。2022年再生能源發電為躉售，2023年起將使用再生能源。  2024年規劃之新建案場包括一個自發自用的太陽能系統（391 瓩），配合國家再生能源發展條例之用電大戶政策，並遵循 ISO 50001 的要求，以確保能源管理體系的持續有效性和持續改進。同時，我們還建造了一個躉售的太陽能系統（195.5 瓩），將所產生的太陽能電力進行躉售，並在運營過程中根據 ISO 50001 的要求進行能源管理和監控。  這些新建案場的設立不僅提升了我們的能源多樣性，還進一步鞏固了我們對可持續發展和環境保護的承諾。通過 ISO 50001 的認證，我們確保能源管理體系符合國際標準，並能夠持續改進能源效率，降低能源成本，同時為全球的節能減碳努力作出積極貢獻。","","ISO 50001"
"=""2105""","正新","2.8000","母公司",""
"=""2106""","建大","無，無統計相關數據","","ISO 50001"
"=""2107""","厚生","無，無統計相關數據","",""
"=""2108""","南帝","0.0000","僅母公司",""
"=""2109""","華豐","無，無統計相關數據","",""
"=""2114""","鑫永銓","無，無統計相關數據","",""
"=""2115""","六暉-KY","無，無統計相關數據","",""
"=""2201""","裕隆","5.4946","裕隆汽車製造(股)公司三義廠區",""
"=""2204""","中華","0.0477","占營運範圍比率100%","ISO 50001"
"=""2206""","三陽工業","無，太陽能為廠房出租使用。","",""
"=""2207""","和泰車","0.2884","母公司",""
"=""2208""","台船","無，無統計相關數據","",""
"=""2211""","長榮鋼","無，未購置再生能源","",""
"=""2227""","裕日車","無，無統計相關數據","",""
"=""2228""","劍麟","無，無統計相關數據","",""
"=""2231""","為升","無，無統計相關數據","",""
"=""2233""","宇隆","無，無統計相關數據","",""
"=""2236""","百達-KY","無，無統計相關數據","",""
"=""2239""","英利-KY","無，無統計相關數據","",""
"=""2241""","艾姆勒","0.0000","母公司",""
"=""2243""","宏旭-KY","無，無統計相關數據","",""
"=""2247""","汎德永業","0.0769","合併財報之母子公司",""
"=""2248""","華勝-KY","N/A","N/A",""
"=""2250""","IKKA-KY","無，無統計相關數據","",""
"=""2254""","巨鎧精密-創","N/A","N/A",""
"=""2258""","鴻華先進-創","N/A","N/A",""
"=""2301""","光寶科","26.8000","包含母公司與合併財報之部分子公司 光寶科技股份有限公司、光寶電子(天津)有限公司、光寶網絡通訊(東莞)有限公司、光寶光電(常州)有限公司、光寶科技(常州)有限公司、光寶電子(東莞)有限公司、光寶電源科技(東莞)有限公司、旭麗電子(東莞)有限公司、惠州市力信電子有限公司、光寶電子(廣州)有限公司、建興光電科技(北海)有限公司、敦揚(廣州)汽車電子有限公司、光寶智能汽車(廣州)有限公司、LITE-ON VIETNAM CO., LTD.、Lite-On Electronics (Thailand) Co., Ltd.、LITE-ON POWER ELECTRONIC INDIA PRIVATE LIMITED","ISO 50001"
"=""2302""","麗正","無，無統計相關數據","",""
"=""2303""","聯電","0.1400","母公司(含新加坡分公司)","ISO 50001"
"=""2305""","全友","無，無統計相關數據","",""
"=""2308""","台達電","57.6000","全球據點","ISO 50001"
"=""2312""","金寶","5.2000","合併財務報表之母子公司",""
"=""2313""","華通","28.7000","111年度",""
"=""2314""","台揚","0.0000","僅台揚科技",""
"=""2316""","楠梓電","無，無統計相關數據","","ISO 50001"
"=""2317""","鴻海","8.2800","包含合併財務報表母子公司","ISO 50001"
"=""2321""","東訊","無，無設置再生能源設施","",""
"=""2323""","中環","無，無統計相關數據","",""
"=""2324""","仁寶","37.4000","母公司、仁寶(越南)、仁寶電腦(重慶)、仁寶電腦(成都)及仁寶視訊電子(昆山)、仁寶電子科技(昆山)、仁寶資訊工業(昆山)、仁寶信息技術(昆山)、仁寶數碼科技（昆山）、吉寶通訊（南京）、重慶翊寶智慧電子裝置及Compalead Eletr&#244;nica do Brasil Ind&#250;stria e Com&#233;rcio","ISO 50001"
"=""2327""","國巨*","0.0000","母公司",""
"=""2328""","廣宇","0.0000","母公司為辦公區再生能源為零，子公司規劃建設太陽能站，(目前東廠區建設完畢)。",""
"=""2329""","華泰","無，無使用再生能源","","ISO 50001"
"=""2330""","台積電","10.4000","台灣廠區及部分子公司","ISO 50001"
"=""2331""","精英","0.1091","% ; 資料範圍： 精英電腦總部智慧大樓太陽能車棚","GB/T 23331-2020 / ISO 50001:2018, 大陸興英廠區取得                                                                                                                                                      "
"=""2332""","友訊","無，無統計相關數據","","ISO14001                                                                                                                                                                                                "
"=""2337""","旺宏","0.0000","僅母公司",""
"=""2338""","光罩","0.0000","僅母公司",""
"=""2340""","台亞","無，建置中","",""
"=""2342""","茂矽","0.0260","僅母公司",""
"=""2344""","華邦電","0.0000","母公司","ISO 50001"
"=""2345""","智邦","無，目前為溫室氣體盤查階段，竹北廠將設置屋頂太陽能發電設施。","","ISO 50001"
"=""2347""","聯強","無，尚無使用再生能源","",""
"=""2348""","海悅","無，無統計相關數據","",""
"=""2349""","錸德","0.1227","僅母公司",""
"=""2351""","順德","0.0800","母公司","ISO 50001"
"=""2352""","佳世達","7.1000","佳世達台灣/蘇州廠區","ISO 50001"
"=""2353""","宏碁","44.0000","含合併財務報表之母子公司","ISO 50001"
"=""2354""","鴻準","無，無統計相關數據","","ISO 50001"
"=""2355""","敬鵬","無，無統計相關數據","",""
"=""2356""","英業達","19.8900","*英業達股份有限公司Inventec Corporation(士林廠 Shilin site(IET)、桃園廠 Taoyuan site(TAO)、桃園廠 Taoyuan site(TRDC/ITO)、台北辦公室Taipei office、台南建物Tainan building、日本東京辦公室(IJC)) *英業達(重慶)有限公司Inventec (Chongqing) Corporation (ICC) *英業達科技有限公司Inventec (Pudong) Technology Corporation (IPT) *上海順詮科技有限公司SQ Technology (Shanghai) Corporation (SQT) *Inventec (Czech) S.R.O. (ICZ) *IEC Technologies, S . de R. L. de C. V. (IMX)","ISO 50001"
"=""2357""","華碩","15.0000","全球營運據點","ISO 50001"
"=""2359""","所羅門","無，未增設再生能源設備","",""
"=""2360""","致茂","0.0020","僅母公司",""
"=""2362""","藍天","15.9000","主要製造廠：昆山廠","ISO 50001"
"=""2363""","矽統","無，無統計相關數據","",""
"=""2364""","倫飛","無，無統計相關數據","",""
"=""2365""","昆盈","無，無統計相關數據","",""
"=""2367""","燿華","無，未使用再生能源","","ISO 50001"
"=""2368""","金像電","6.9000","合併財務報表之母子公司","ISO 50001"
"=""2369""","菱生","無，太陽能發電躉售台電","",""
"=""2371""","大同","0.0000","僅母公司","ISO 50001"
"=""2373""","震旦行","0.0000","僅母公司",""
"=""2374""","佳能","0.0000","111年度",""
"=""2375""","凱美","無，無統計相關數據","",""
"=""2376""","技嘉","0.0000","技嘉科技營運總部、桃園南平廠、中國東莞廠和中國寧波廠",""
"=""2377""","微星","無，無統計相關數據","","ISO 50001"
"=""2379""","瑞昱","0.0000","僅包含瑞昱新竹營運總部",""
"=""2380""","虹光","無，無統計相關數據","",""
"=""2382""","廣達","25.9200","廣達電腦(股)公司臺灣總部QRDC及廣達台灣製造城QTMC、廣達上海製造城QSMC、廣達重慶製造城QCMC、廣達泰國廠QMB","ISO 50001"
"=""2383""","台光電","無，無使用再生能源","",""
"=""2385""","群光","13.5500","群光電子(含海外各廠區，不含子公司)","ISO 50001"
"=""2387""","精元","無，無統計相關數據","",""
"=""2388""","威盛","無，無再生能源之使用","",""
"=""2390""","云辰","無，無統計相關數據","",""
"=""2392""","正崴","63.6000","母公司及主要生產基地之子公司","ISO 50001"
"=""2393""","億光","0.0000","億光電子台灣地區",""
"=""2395""","研華","0.0000","邊界範疇包含研華台灣(瑞光、陽光、林口、東湖)、中國昆山廠區、日本廠區、韓國廠區、美國廠區及歐洲廠區","ISO 50001"
"=""2397""","友通","無，無統計相關數據","",""
"=""2399""","映泰","無，僅有辦公處所，無生產製造且法令無規範。","",""
"=""2401""","凌陽","0.0000","僅母公司",""
"=""2402""","毅嘉","無，尚未導入","",""
"=""2404""","漢唐","無，無統計相關數據","",""
"=""2405""","輔信","無，無統計相關數據","",""
"=""2406""","國碩","無，無統計相關數據","",""
"=""2408""","南亞科","0.9500","母公司","ISO 50001"
"=""2409""","友達","0.1000","全球營運據點","ISO 50001"
"=""2412""","中華電","1.6700","100%","ISO 50001"
"=""2413""","環科","0.6108","母公司",""
"=""2414""","精技","無，無統計相關數據","",""
"=""2415""","錩新","0.0000","母公司+錩新科技(越南)公司",""
"=""2417""","圓剛","0.0000","母公司",""
"=""2419""","仲琦","無，無統計相關數據","",""
"=""2420""","新巨","0.0000","包含合併財務報表之母子公司",""
"=""2421""","建準","無，無統計相關數據","",""
"=""2423""","固緯","無，無統計相關數據","",""
"=""2424""","隴華","無，無統計相關數據","",""
"=""2425""","承啟","無，無統計相關數據","",""
"=""2426""","鼎元","0.0000","僅母公司",""
"=""2427""","三商電","無，無統計相關數據","",""
"=""2428""","興勤","無，無統計相關數據","",""
"=""2429""","銘旺科","無，無統計相關數據","",""
"=""2430""","燦坤","無，無統計相關數據","",""
"=""2431""","聯昌","無，無統計相關數據","",""
"=""2432""","倚天酷碁-創","0.0000","僅申報公司",""
"=""2433""","互盛電","0.0000","僅母公司",""
"=""2434""","統懋","43.6646","母公司",""
"=""2436""","偉詮電","無，無使用再生能源","",""
"=""2438""","翔耀","無，無統計相關數據","",""
"=""2439""","美律","16.3100","母公司與部分合併財務報表之子公司","ISO 50001"
"=""2440""","太空梭","無，無統計相關數據","",""
"=""2441""","超豐","無，無統計相關數據","",""
