"報告年度:2021","議題:董事會"
"公司代號","公司名稱","董事席次(含獨立董事)(席)-董事席次(含獨立董事)(席)","獨立董事席次(席)-獨立董事席次(席)","女性董事席次及比率-席","女性董事席次及比率-比率","董事出席董事會出席率-董事出席董事會出席率","董事進修時數符合進修要點比率-董事進修時數符合進修要點比率"
"=""2457""","飛宏","10","3","0","0.00%","90.24%","100.00%"
"=""2458""","義隆","9","4","0","0.00%","100.00%","100.00%"
"=""2459""","敦吉","9","3","0","0.00%","96.00%","33.00%"
"=""2460""","建通","7","3","0","0.00%","97.67%","71.40%"
"=""2461""","光群雷","7","3","3","43.00%","100.00%","100.00%"
"=""2462""","良得電","9","3","1","11.11%","92.00%","44.44%"
"=""2464""","盟立","5","2","2","40.00%","94.00%","100.00%"
"=""2465""","麗臺","7","3","0","0.00%","100.00%","50.00%"
"=""2466""","冠西電","9","3","2","22.22%","96.88%","44.44%"
"=""2467""","志聖","7","3","0","0.00%","100.00%","14.00%"
"=""2468""","華經","7","3","4","57.14%","100.00%","85.71%"
"=""2471""","資通","7","2","1","14.00%","93.00%","100.00%"
"=""2472""","立隆電","7","2","0","0.00%","100.00%","100.00%"
"=""2474""","可成","7","3","0","0.00%","95.24%","42.86%"
"=""2476""","鉅祥","7","3","2","29.00%","100.00%","100.00%"
"=""2477""","美隆電","10","3","1","10.00%","95.58%","30.00%"
"=""2478""","大毅","9","3","2","22.22%","100.00%","100.00%"
"=""2480""","敦陽科","10","3","1","10.00%","96.00%","100.00%"
"=""2481""","強茂","7","3","0","0.00%","89.80%","85.71%"
"=""2482""","連宇","7","3","0","0.00%","95.92%","14.29%"
"=""2483""","百容","9","3","2","22.00%","100.00%","100.00%"
"=""2484""","希華","10","3","0","0.00%","97.50%","100.00%"
"=""2485""","兆赫","13","3","0","0.00%","60.00%","30.76%"
"=""2486""","一詮","7","3","0","0.00%","89.80%","57.14%"
"=""2488""","漢平","13","3","0","0.00%","100.00%","100.00%"
"=""2489""","瑞軒","11","4","2","18.00%","97.00%","100.00%"
"=""2491""","吉祥全","7","3","2","28.57%","100.00%","100.00%"
"=""2492""","華新科","9","3","0","0.00%","93.06%","100.00%"
"=""2493""","揚博","7","2","1","14.29%","100.00%","43.00%"
"=""2495""","普安","7","4","0","0.00%","100.00%","100.00%"
"=""2496""","卓越","9","3","5","56.00%","93.00%","100.00%"
"=""2497""","怡利電","9","3","1","11.00%","87.41%","100.00%"
"=""2498""","宏達電","7","3","1","14.28%","94.28%","71.43%"
"=""2501""","國建","9","3","1","11.00%","100.00%","100.00%"
"=""2504""","國產","12","3","1","8.33%","100.00%","100.00%"
"=""2505""","國揚","9","3","1","11.00%","100.00%","100.00%"
"=""2506""","太設","9","3","1","11.00%","96.00%","100.00%"
