報告年度:2021,議題:廢棄物管理,,,,,,,
公司代號,公司名稱,有害廢棄物(公噸(t))-有害廢棄物(公噸(t)),非有害廢棄物(公噸(t))-非有害廢棄物(公噸(t)),總重量(有害+非有害)(公噸(t))-總重量(有害+非有害)(公噸(t)),資料範圍-資料範圍,廢棄物密集度-密集度(公噸/單位),廢棄物密集度-單位,取得驗證-取得驗證
2010,春源,0,13879,13879,台灣總公司及北中南各生產營運據點。,0.0265,產品,ISO 14001
2012,春雨,9224,1956.63,11180.63,母公司,18.7,百萬營業額                                                                                                                                                                                              ,ISO 14001
2013,中鋼構,0,1229.6,1229.6,高雄廠區、官田廠區,無，無統計相關數據,,
2014,中鴻,22617.485,100452.559,123070.044,母公司,0.043,產品,ISO 14001
2015,豐興,34962,385803,420765,僅母公司,0.2315,產品,ISO 14001
2017,官田鋼,0,2714.49,2714.49,永康廠、麻豆廠、官田廠,0.04,產品,
2020,美亞,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,ISO14000                                                                                                                                                                                                
2022,聚亨,0,2141.44,2141.44,母公司,無，無統計相關數據,,
2023,燁輝,214,2484,2698,2021全年度,0.002,產量(公噸)                                                                                                                                                                                              ,ISO 14001
2024,志聯,0,0,1285,廢酸+生活垃圾+廢塑膠+鐵粉+製程污泥+廢水污泥+廢潤滑油,無，無統計相關數據,,
2025,千興,0,0,900.51,僅母公司,0.0004,營業額,
2027,大成鋼,0,1583.34,1583.34,僅母公司,0.028,產品,中華民國確信準則公報第一號「非屬歷史性財務資訊查核或核閱之確信案件」標準                                                                                                                                
2028,威致,20974,64261,85235,個別公司,無，無統計相關數據,,
2029,盛餘,17.59,1490,1507.59,統計2021年有害/一般污泥產出量,1.19,產品,
2030,彰源,0,0,983.75,一廠、二廠、三廠、大連廠,983.75,營業額,ISO 14001
2031,新光鋼,0,37.54,37.54,事業廢棄物(含生活垃圾),0.3,億元營業額                                                                                                                                                                                              ,
2032,新鋼,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2033,佳大,1000,332,1332,,無，無統計相關數據,,
2034,允強,350.38,1096.89,1447.27,僅母公司所有廠區,0.0077,產品,ISO 14001
2038,海光,4870.18,36945.24,41815.42,爐渣、生活垃圾,無，無統計相關數據,,
2049,上銀,16.07,11102.355,11118.425,涵蓋營運據點13廠區，100%營運控制權,0.4833,百萬營業額                                                                                                                                                                                              ,ISO 14001
2059,川湖,35.89,241.7,277.59,母公司及子公司川益科技(股)公司兩個廠區,0.0161,千組產品                                                                                                                                                                                                ,ISO 14001
2062,橋椿,113.6,407.17,520.77,母公司,無，無統計相關數據,,
2069,運錩,0,37,37,僅母公司所有廠區,無，無統計相關數據,,ISO 14001
2072,世紀風電,,,,,,,N/A
2101,南港,0,0,2927.32,企業永續報告書(110年總量),0.0855,產品,ISO 14001
2102,泰豐,0,858.51,858.51,僅母公司,0.117,每噸產品                                                                                                                                                                                                ,
2103,台橡,1344.68,2591.77,3936.45,合併財務報表之生產營運母子公司,7,每千噸產品量                                                                                                                                                                                            ,ISO 14001
2104,國際中橡,0,1262.2,1262.2,國際中橡100%持有之子公司林園先進。,0.01,產品,ISO 14001
2105,正新,3.69,3930.09,3933.78,母公司,0.027,產品,
2106,建大,0,0,2284.06,台灣地區,0.05,產品,ISO 14001
2107,厚生,0,40,40,2021/01~2021/12,無，無統計相關數據,,
2108,南帝,9.17,2068.27,2077.44,母公司,無，無統計相關數據,,
2109,華豐,,,,,,,
2114,鑫永銓,0,767.24,767.24,母公司,無，無統計相關數據,,
2115,六暉-KY,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2201,裕隆,5.98,2927.31,2933.29,裕隆汽車製造(股)公司三義廠區,0.0963,產品,
2204,中華,77.23,1193.28,1270.51,楊梅廠+新竹廠,0.0232,產品為楊梅廠+新竹廠年車輛生產台數總量                                                                                                                                                                   ,ISO 14001
2206,三陽工業,0,8161.09,8161.09,三陽工業股份有限公司新竹廠,3357.79,產品,
2207,和泰車,0,71,71,母公司,0.13,人                                                                                                                                                                                                      ,
