"報告年度:2023","議題:水資源管理"
"公司代號","公司名稱","用水量(公噸(t))-用水量(公噸(t))","資料範圍-資料範圍","用水密集度-用水密集度","用水密集度-單位","驗證標準-取得驗證"
"=""1605""","華新","14,124,954.0800","華新麗華股份有限公司個體公司及子公司( 包括東莞華新、上海華新、江陰華新、江陰合金、煙台華新、常熟華新、華新精密)","13.7635","公噸/產品","ISO 46001"
"=""1608""","華榮","88,928.0000","高楠廠生產工廠","12.4986","公噸/百萬元營業額","N/A"
"=""1609""","大亞","115,773.0000","大亞公司(個體)","2.9246","公噸/產品","N/A"
"=""1611""","中電","N/A","N/A","N/A","N/A","N/A"
"=""1612""","宏泰","58,900.0000","僅母公司","9.5200","公噸/百萬元營業額","N/A"
"=""1614""","三洋電","61,714.0000","台灣三洋電機股份有限公司及三洋全能股份有限公司","10.7224","公噸/百萬元營業額","N/A"
"=""1615""","大山","N/A","N/A","N/A","N/A","N/A"
"=""1616""","億泰","N/A","N/A","N/A","N/A","N/A"
"=""1617""","榮星","35,724.0000","台南市仁德區中正路三段231號、台北市松山區復興北路181號13樓之3所有管理製程及設施，包括辦公區、生產線及倉儲等","25.4264","公噸/百萬元營業額","N/A"
"=""1618""","合機","N/A","N/A","N/A","N/A","N/A"
"=""1626""","艾美特-KY","218.5600","主要營運據點艾美特電器（深圳）有限公司、艾美特電器（九江）有限公司","N/A","N/A","N/A"
"=""1702""","南僑","1,773,902.0000","涵蓋台灣、中國大陸、泰國地區之製造單位及台灣、中國大陸餐飲事業","0.0864","公噸/千元","N/A"
"=""1707""","葡萄王","355,182.0000","台灣區(葡萄王生技+葡眾企業) ","33.4000","公噸/百萬元營業額","N/A"
"=""1708""","東鹼","513,050.0000","僅母公","0.0870","公噸/百萬元營業額","N/A"
"=""1709""","和益","150,140.0000","母公司及子公司聯超、和協","15.9176","公噸/百萬元營業額","N/A"
"=""1710""","東聯","1,581.0360","林園廠","152.8720","公噸/百萬元營業額","ISO 46001"
"=""1711""","永光","593,900.0000","桃園地區四個廠區、新竹全通科技、大陸地區的蘇州永光，已取得ISO 14001認證之生產型廠區及子公司","N/A","N/A","ISO 46001"
"=""1712""","興農","653,683.4604","母公司王田廠、王田二廠、王田三廠、生物工廠、大肚廠、彰濱廠","34.2010","公噸/百萬元營業額","N/A"
"=""1713""","國化","182.2200","國泰化工廠","148.0297","公噸/百萬元營業額","N/A"
"=""1714""","和桐","12.4130","母公司","0.0004","公噸/產品","N/A"
"=""1717""","長興","744,180.0000","母公司個體(包含母公司個體之生產廠區及營業據點)、大陸子公司生產廠區及營業據點、馬來西亞子公司生產廠區及營業據點。","1.4900","公噸/產品","N/A"
"=""1718""","中纖","2,079.0000","中國人造纖維股份有限公司高雄總廠(含汽電二廠)","0.5040","公噸/百萬元營業額","N/A"
"=""1720""","生達","146,563.0000","生達一廠+生達二廠","49.0177","公噸/百萬元營業額","N/A"
"=""1721""","三晃","203,140.0000","僅母公司","13.4334","公噸/產品","確信準則3000號"
"=""1722""","台肥","N/A","N/A","N/A","N/A","N/A"
