"報告年度:2023","議題:投資人溝通"
"公司代號","公司名稱","公司年度召開法說會次數(次)-公司年度召開法說會次數(次)","利害關係人或公司治理專區連結-利害關係人或公司治理專區連結"
"=""2250""","IKKA-KY","1","http://www.ikka.com.tw/msg/message-Stakeholder-Area.html"
"=""2254""","巨鎧精密-創","1","https://official.coplus.com.tw/social?id=75"
"=""2258""","鴻華先進-創","2","https://www.foxtronev.com/tw/investor"
"=""2301""","光寶科","4","http://www.liteon.com/Page.aspx?id=67805d0f-c0cf-4218-a878-a597e7dd7f58"
"=""2302""","麗正","1","www.rectron.com.tw"
"=""2303""","聯電","4","WWW.UMC.COM"
"=""2305""","全友","1","ww7.microtek.com.tw"
"=""2308""","台達電","30","https://esg.deltaww.com/manage_focus"
"=""2312""","金寶","2","https://www.kinpo.com.tw/zh-TW/stakeholder/"
"=""2313""","華通","4","www.compeq.com.tw/relationship.php"
"=""2314""","台揚","2","https://www.mtigroup.com/zh-tw/stakeholder"
"=""2316""","楠梓電","1","http://www.wus.com.tw/index.php/zh-tw/2017-10-18-03-24-45"
"=""2317""","鴻海","4","https://www.honhai.com/zh-tw/CSR/stake-holder"
"=""2321""","東訊","1","http://www.tecom.com.tw"
"=""2323""","中環","1","https://www.cmcnet.com.tw/tw/esg/8728709aC804"
"=""2324""","仁寶","13","http://www.compal.com/stakeholder-communication-area/"
"=""2327""","國巨","16","WWW.YAGEO.COM"
"=""2328""","廣宇","3","www.panpi.com.tw/contact-us-contact2.htm"
"=""2329""","華泰","2","https://www.ose.com.tw/about/about-ose/contact/#investment"
"=""2330""","台積電","4","https://esg.tsmc.com/zh-Hant/sustainable-management/materiality-analysis"
"=""2331""","精英","1","http://www.ecs.com.tw/ECSWebSite/Finance/Finance_List.aspx?MenuID=123&childid=M_123&LanID=1"
"=""2332""","友訊","2","https://company.dlink.com/zh-hant/esg/stakeholder-engagement"
"=""2337""","旺宏","4","https://www.macronix.com/zh-tw/about/CSR/Pages/stakeholder.aspx"
"=""2338""","光罩","2","http://www.tmcnet.com.tw/Eng/EngIndex-stakeholder.htm"
"=""2340""","台亞","1","https://www.tascsemi.com/stakeholders.aspx"
"=""2342""","茂矽","1","http://www.mosel.com.tw/about_csr.asp?left_n=1"
"=""2344""","華邦電","2","WWW.WINBOND.COM"
"=""2345""","智邦","1","http://www.accton.com.tw/interested.asp"
"=""2347""","聯強","5","http://www.synnex-grp.com/g03_corporate_02.html"
"=""2348""","海悅","1","www.hiyes-group.com.tw"
"=""2349""","錸德","1","http://www.ritek.com.tw"
"=""2351""","順德","9","www.sdi.com.tw"
"=""2352""","佳世達","4","http://www.qisda.com.tw/page.aspx?uid=50"
"=""2353""","宏碁","12","https://www.acer-group.com/ag/zh/TW/content/stakeholder-grievance-mechanism"
"=""2354""","鴻準","2","https://www.foxconntech.com.tw/investor-relations/"
"=""2355""","敬鵬","1","https://www.chinpoon.com/stakeholder"
"=""2356""","英業達","31","https://esg.inventec.com/sustainable-development/communication-with-stakeholders"
"=""2357""","華碩","4","http://csr.asus.com/chinese/index.aspx#121"
"=""2359""","所羅門","1","https://www.solomon.com.tw/contact-us/"
"=""2360""","致茂","14","https://www.chromaate.com/tw/investors/corporate_governance/stakeholders"
"=""2362""","藍天","4","www.clevo.com.tw"
"=""2363""","矽統","1","www.sis.com"
"=""2364""","倫飛","2","http://www.twinhead.com.tw/rela.php"
"=""2365""","昆盈","2","https://www.geniusnet.com/tw/investors"
"=""2367""","燿華","1","https://esg.pcbut.com.tw/twww/?p=1924"
"=""2368""","金像電","4","http://www.gce.com.tw/gce_tw/financial.html"
"=""2369""","菱生","1","https://www.lingsen.com.tw"
"=""2371""","大同","2","https://www.tatung.com/tw/info/appeal"
"=""2373""","震旦行","2","https://www.aurora.com.tw/xmdoc/cont?xsmsid=0H049482612387091212"
"=""2374""","佳能","1","www.abilitycorp.com.tw"
"=""2375""","凱美","1","http://jamicon.teapo.com"
"=""2376""","技嘉","2","http://www.gigabyte.tw/gigabyte.aspx?s=-3&p="
"=""2377""","微星","1","http://tw.msi.com/"
"=""2379""","瑞昱","4","www.realtek.com"
"=""2380""","虹光","1","https://www.avision.com/tw/about-avision/crs/grievance-procedure/"
"=""2382""","廣達","18","http://www.quantatw.com/Quanta/chinese/about/ske.aspx"
"=""2383""","台光電","31","http://www.emctw.com"
"=""2385""","群光","12","https://www.chicony.com"
"=""2387""","精元","1","https://www.sunrex.com.tw"
"=""2388""","威盛","1","https://www.viatech.com/tw/company-overview-tw/investor-relations/"
"=""2390""","云辰","1","http://www.everspring.com"
"=""2392""","正崴","4","http://www.foxlink.com.tw/_ch/1_about/ab_11csr_03.html"
"=""2393""","億光","2","http://www.everlight.com/investor.aspx"
"=""2395""","研華","7","http://www.advantech.tw/csr/citizenship/stakeholder_balance"
"=""2397""","友通","4","http://www.dfi.com/tw/about/stakeholder.html"
"=""2399""","映泰","1","https://www.biostar.com.tw/app/tw/about/about_stakeholders.php"
"=""2401""","凌陽","2","www.sunplus.com"
"=""2402""","毅嘉","1","http://www.ichia.com/index.php?option=com_content&view=article&id=263&Itemid=1138&lang=tw"
"=""2404""","漢唐","1","http://www.uisco.com.tw"
"=""2405""","輔信","1","https://www.shuttle.com/Investors/Stakeholder?LOCATION_Code=TW"
"=""2406""","國碩","1","http://www.gigastorage.com.tw/investors_contacts.aspx"
"=""2408""","南亞科","19","https://www.nanya.com/ESG/tw/materiality_analysis"
"=""2409""","友達","8","https://csr.auo.com/tw/operating/partners/stakeholder"
"=""2412""","中華電","4","https://www.cht.com.tw/zh-tw/home/cht"
"=""2413""","環科","1","http://www.umec.com.tw/tw/index.php"
"=""2414""","精技","1","http://www.unitech.com.tw/investor/investor_email.aspx"
"=""2415""","錩新","1","http://www.cxtechnology.com/corp/Stakeholder"
"=""2417""","圓剛","2","www.corpasia.net/taiwan/2417/irwebsite_c/stakeholder.php"
"=""2419""","仲琦","1","http://www.hitrontech.com"
"=""2420""","新巨","2","www.zippy.com.tw/tw/07_loop_peo.aspx"
"=""2421""","建準","6","https://www.sunon.com/sta.aspx"
"=""2423""","固緯","2","http://www.gwinstek.com/zh-TW/Page/Interest_area"
"=""2424""","隴華","1","http://twse.lunghwa.com.tw/investor.html"
"=""2425""","承啟","1","http://www.chaintech.com.tw/Investorscolumn.aspx?type=0&tid=7"
"=""2426""","鼎元","1","www.tyntek.com.tw/responsibility.php"
"=""2427""","三商電","1","http://www.mds.com.tw/investor/responsibility3.html"
"=""2428""","興勤","4","www.thinking.com.tw"
"=""2429""","銘旺科","1","http://www.abonmax.com.tw/"
"=""2430""","燦坤","2","https://www.tk3c.com.tw/#stakeholder2&5"
"=""2431""","聯昌","1","https://www.lienchang.com.tw/tw/html/page/page.php?cid=26&cid2=101"
"=""2432""","倚天酷碁-創","2","https://www.acergadget.com"
"=""2433""","互盛電","2","https://www.eosasc.com.tw/stakeholder"
"=""2434""","統懋","1","http://www.mospec.com.tw/big5/stakeholder.htm"
"=""2436""","偉詮電","2","www.weltrend.com.tw"
"=""2438""","翔耀","1","https://www.enlightcorp.com.tw/index.php/enlightcorp-2/page-3/"
"=""2439""","美律","10","https://www.merry.com.tw/page/about/index.aspx?kind=42#"
"=""2440""","太空梭","1","http://www.spaces.com.tw/s/1/faq.html"
"=""2441""","超豐","2","www.greatek.com.tw"
"=""2442""","新美齊","2","http://www.jean.com.tw/stakeholder.php"
"=""2444""","兆勁","1","http://www.abocom.com.tw"
"=""2449""","京元電子","7","http://www.kyec.com.tw/csr/csr_stakeholder.aspx"
"=""2450""","神腦","4","http://www.senao.com.tw/invest11.php"
"=""2451""","創見","1","http://tw.transcend-info.com/about/stakeholders"
"=""2453""","凌群","1","https://www.syscom.com.tw/investor/It_StakeHolder.aspx"
"=""2454""","聯發科","4","https://corp.mediatek.tw/about/sustainability/overview/stakeholder-engagement"
"=""2455""","全新","12","http://www.vpec.com.tw/vpec/homeweb/about.php?menu1=M100004&menu2=M200013&menu3=M300044&level=3"
"=""2457""","飛宏","6","www.phihong.com.tw"
"=""2458""","義隆","4","http://www.emc.com.tw/twn/Social_Responsibility06.asp"
"=""2459""","敦吉","1","http://www.audix.com.tw/_tw/01_audix/04_contactus2.aspx"
"=""2460""","建通","1","https://www.gem.com.tw/csr-stakeholder"
"=""2461""","光群雷","1","www.klasergroup.com"
"=""2462""","良得電","2","http://www.linetek.com.tw/#/"
