"報告年度:2023","議題:廢棄物管理"
"公司代號","公司名稱","有害廢棄物(公噸(t))-有害廢棄物(公噸(t))","非有害廢棄物(公噸(t))-非有害廢棄物(公噸(t))","總重量(有害+非有害)(公噸(t))-總重量(有害+非有害)(公噸(t))","資料範圍-資料範圍","廢棄物密集度-密集度(公噸/單位)","廢棄物密集度-單位","驗證標準-取得驗證"
"=""1531""","高林股","72.1000","229.5900","301.6900","桃園廠及高銀廠之事業廢棄物，生活廢棄物因統計基準不一因此未統計","N/A","N/A","N/A"
"=""1532""","勤美","309.0000","89,412.0000","89,721.0000","勤美金屬成型事業處、蘇州勤美達精密機械有限公司(CMS)、勤威(天津)工業有限公司(CMW)、蘇州勤堡精密機械有限公司(CMB)及勤美達（武漢）精密機械有限公司(CMH)","N/A","N/A","N/A"
"=""1533""","車王電","1.0020","95.2820","96.2840","台灣母公司","0.1701","公噸/百萬元營業額","ISO 14001"
"=""1535""","中宇","0.0000","12.7260","12.7260","包含合併財務報表之母子公司","0.0131","公噸/千萬元營業額","ISO 14064-1"
"=""1536""","和大","N/A","N/A","N/A","N/A","N/A","N/A","ISO 14001"
"=""1537""","廣隆","2,108.0000","1,102.0000","3,210.0000","包含合併財務報表之母子公司","N/A","N/A","N/A"
"=""1538""","正峰","0.0000","15.2000","15.2000","申報清運","N/A","N/A","N/A"
"=""1539""","巨庭","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1540""","喬福","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1541""","錩泰","12.0000","549.0000","561.0000","包含合併財務報表之母子公司","0.1380","公噸/百萬元營業額","N/A"
"=""1558""","伸興","49.0900","588.8100","637.9000","合併財務報表之母子公司(不含宇隆)","0.0003","公噸/產品","ESG報告書AA1000"
"=""1560""","中砂","22.8280","1,610.1190","1,632.9470","母公司","0.2800","公噸/百萬元營業額","N/A"
"=""1563""","巧新","81.2400","6,397.6700","6,478.9100","僅母公司","0.8328","公噸/百萬元營業額","ISO 14001"
"=""1568""","倉佑","4.8400","489.0500","493.8900","不含資源回收類","0.4040","公噸/百萬元營業額","ISO 14001"
"=""1582""","信錦","0.0000","4.4108","4.4108","母公司","N/A","N/A","N/A"
"=""1583""","程泰","0.0000","1,089.1327","1,089.1327","程泰機械(全公司,含中科廠/嘉義廠/工業區廠)","N/A","N/A","N/A"
"=""1587""","吉茂","4,995.0000","34,730.0000","39,725.0000","母公司","N/A","N/A","N/A"
"=""1589""","永冠-KY","386.1338","33,363.6500","33,749.7838","合併財務報表之母子公司","3.8923","公噸/百萬元營業額","ISO 14001"
"=""1590""","亞德客-KY","5,704.9310","15,738.8484","21,443.7794","考量揭露訊息之重大性以及實際管理需求，涵蓋主要銷售據點、主要生產基地和營運總部，合計揭露比重佔 2023 年合併營業收入達96%，亦達2023年度生產產值100%。","0.7189","公噸/百萬元營業額","N/A"
"=""1597""","直得","0.0000","217.7000","217.7000","母公司","0.2735","公噸/百萬元營業額","ISO 14001"
"=""1598""","岱宇","0.0000","43.9500","43.9500","彰化本廠、二廠、五廠、台中辦公室","0.0012","公噸/土地總面積","N/A"
"=""1603""","華電","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1604""","聲寶","0.0000","6.0000","6.0000","聲寶股份有限公司及德寶家電股份有限公司","N/A","N/A","ISO 14001"
"=""1605""","華新","72,668.2720","175,507.3880","248,175.6600","華新麗華股份有限公司個體公司及子公司( 包括東莞華新、上海華新、江陰華新、江陰合金、煙台華新、常熟華新、華新精密)","0.2418","公噸/產品","ISO 14001"
"=""1608""","華榮","13.8200","509.0200","522.8400","高楠廠生產工廠","0.0735","公噸/百萬元營業額","N/A"
"=""1609""","大亞","112.0980","2,236.1760","2,348.2740","大亞公司(個體)","0.0593","公噸/產品","N/A"
"=""1611""","中電","1.9210","28.3000","30.2210","依據 112 年度廢棄物清理量","30.2211","公噸/百萬元營業額","N/A"
"=""1612""","宏泰","52.1980","237.4700","289.6680","僅母公司","4.6826","公噸/百萬元營業額","ISO 9001"
"=""1614""","三洋電","0.0000","1,259.5500","1,259.5500","台灣三洋電機股份有限公司及三洋全能股份有限公司","0.2188","公噸/百萬元營業額","N/A"
"=""1615""","大山","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1616""","億泰","N/A","N/A","394.7440","N/A","N/A","N/A","N/A"
"=""1617""","榮星","68.1230","33.0650","101.1880","有害:廢溶劑+廢空桶.非有害:廢油+一般垃圾+廢觸媒","0.0721","公噸/百萬元營業額","N/A"
"=""1618""","合機","N/A","N/A","561.2000","N/A","N/A","N/A","N/A"
"=""1626""","艾美特-KY","107.5800","646.8000","754.3800","主要營運據點艾美特電器（深圳）有限公司、艾美特電器（九江）有限公司","N/A","N/A","N/A"
"=""1702""","南僑","53.0000","15,147.0000","15,200.0000","涵蓋台灣、中國大陸、泰國地區之製造單位及台灣、中國大陸餐飲事業","0.6701","公噸/百萬元營業額","N/A"
"=""1707""","葡萄王","4.4900","3,425.4100","3,429.9000","台灣區(葡萄王生技+葡眾企業) ","0.3200","公噸/百萬元營業額","ISO 14001"
"=""1708""","東鹼","0.0000","669.0200","669.0200","僅母公司","3.6200","公噸/百萬元營業額","ISO 14001"
"=""1709""","和益","0.0167","636.3532","636.3699","母公司及子公司聯超、和協","0.0674","公噸/百萬元營業額","N/A"
"=""1710""","東聯","0.0300","705.1500","705.1800","東聯化學股份有限公司高雄林園廠","6.8150","公噸/百萬元營業額","ISO 14001"
"=""1711""","永光","1,761.3000","6,854.7000","8,616.0000","桃園地區四個廠區、新竹全通科技、大陸地區的蘇州永光，已取得ISO 14001認證之生產型廠區及子公司","1.2000","公噸/百萬元營業額","ISO 14001"
"=""1712""","興農","2.8000","2,559.3600","2,562.1600","母公司王田廠、王田二廠、王田三廠、生物工廠、大肚廠","0.1300","公噸/百萬元營業額","ISO 14001"
"=""1713""","國化","0.0000","209.8900","209.8900","屏南廠","0.4400","公噸/百萬元營業額","N/A"
"=""1714""","和桐","0.0002","70.9202","70.9204","母公司","0.0024","公噸/產品","N/A"
"=""1717""","長興","45,922.4386","6,156.4693","52,078.9079","資料為依法規定義申報之廢棄物量，未包含GRI定義之再使用準備及回收數量。","0.1198","公噸/產品","ISO 14001"
"=""1718""","中纖","0.1100","15,456.6900","15,456.8000","中國人造纖維股份有限公司高雄總廠(含汽電二廠)","N/A","N/A","N/A"
"=""1720""","生達","92.6054","301.9180","394.5234","生達一廠+生達二廠","0.1319","公噸/百萬元營業額","N/A"
"=""1721""","三晃","83.4200","1,538.5400","1,621.9600","僅母公司 ","0.1072","公噸/產品","確信準則3000號"
"=""1722""","台肥","909.0100","425.1500","1,334.1600","台肥母公司台中廠及苗栗廠","0.0889","公噸/百萬元營業額","N/A"
"=""1723""","中碳","14.9400","209.9200","224.8600","母公司","0.0260","公噸/百萬元營業額","N/A"
"=""1725""","元禎","0.0000","21.0470","21.0470","母公司","0.0028","公噸/百萬元營業額","N/A"
"=""1726""","永記","485.7400","1,271.6200","1,757.3600","20230101~20231231","N/A","N/A","ISO 14001"
"=""1727""","中華化","189.7270","1,452.6600","1,642.3870","中華化學桃園一廠、桃園二廠2023 年度事業廢棄物總產出量","0.0013","公噸/產品","ISO 14001"
"=""1730""","花仙子","6.0189","56.2600","62.2789","蘇州太倉廠","0.1786","公噸/百萬元營業額","N/A"
"=""1731""","美吾華","0.0000","87.4700","87.4700","台北總公司、台中及高雄服務中心及楊梅工廠及物流中心","N/A","N/A","N/A"
"=""1732""","毛寶","0.0000","510.6000","510.6000","母公司","0.9200","公噸/百萬元營業額","N/A"
"=""1733""","五鼎","1.7000","184.9500","186.6500","全廠","0.2011","kg/每千片試片","ISO 14001"
"=""1734""","杏輝","15.6500","212.6300","228.2800","母公司","0.0001","公噸/仟元營業額","ISO 14001"
"=""1735""","日勝化","127.6700","1,131.8200","1,259.4900","僅母公司(南崗廠、大園廠)","0.0751","公噸/產品","N/A"
"=""1736""","喬山","76.8500","3,035.8700","3,112.7200","集團總部與台灣廠、上海廠、越南廠","0.1256","公噸/百萬元營業額","ISO 14001"
"=""1737""","臺鹽","0.0000","313.8521","313.8521","台鹽公司112年度環境會計年度列帳資料","0.0990","公噸/百萬元營業額","N/A"
"=""1752""","南光","16.3500","165.8750","182.2250","總公司","0.0848","公噸/百萬元營業額","N/A"
"=""1760""","寶齡富錦","11.6600","262.3500","274.0000","平鎮廠+正峰大園廠","N/A","N/A","N/A"
