"報告年度:2023","議題:溫室氣體排放"
"公司代號","公司名稱","直接(範疇一)溫室氣體排放量-數據(公噸CO₂e)","直接(範疇一)溫室氣體排放量-資料邊界","直接(範疇一)溫室氣體排放量-確信範圍","能源間接(範疇二)溫室氣體排放量-數據(公噸CO₂e)","能源間接(範疇二)溫室氣體排放量-資料邊界","能源間接(範疇二)溫室氣體排放量-確信範圍","其他間接(範疇三)溫室氣體排放量-數據(公噸CO₂e)","其他間接(範疇三)溫室氣體排放量-資料邊界","其他間接(範疇三)溫室氣體排放量-確信範圍","溫室氣體排放密集度-密集度(公噸CO₂e/百萬元營業額)"
"=""1413""","宏洲","9,046.8522","宏洲纖維工業股份有限公司桃園工廠","宏洲纖維工業股份有限公司桃園工廠","17,539.8988","宏洲纖維工業股份有限公司桃園工廠","宏洲纖維工業股份有限公司桃園工廠","N/A","N/A","N/A","13.3266"
"=""1414""","東和","58.4625","台北辦公室+麻豆廠區","台北辦公室+麻豆廠區","10,951.3215","台北辦公室+麻豆廠區","台北辦公室+麻豆廠區","2,298.0421","台北辦公室+麻豆廠區","台北辦公室+麻豆廠區","23.4847"
"=""1416""","廣豐","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1417""","嘉裕","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1418""","東華","3.9930","水肥、天然氣(台北總公司+新竹廠區)","N/A","388.0604","用電量(台北總公司+新竹廠區)","N/A","N/A","N/A","N/A","19.0407"
"=""1419""","新紡","2,471.8957","母公司與生產單位","N/A","15,968.7775","母公司與生產單位","N/A","78.6868","母公司與生產單位","N/A","5.8335"
"=""1423""","利華","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0005"
"=""1432""","大魯閣","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1434""","福懋","78,690.0000","母公司","母公司","83,080.0000","母公司","母公司","N/A","N/A","N/A","7.3500"
"=""1435""","中福","N/A","N/A","N/A","59.5260","全公司","N/A","8.0610","本公司個體財務報表","N/A","N/A"
"=""1436""","華友聯","N/A","N/A","N/A","52.8000","僅母公司","N/A","N/A","N/A","N/A","N/A"
"=""1437""","勤益控","2.3270","母公司及部分子公司","N/A","33.6753","母公司及部分子公司","N/A","N/A","N/A","N/A","0.0417"
"=""1438""","三地開發","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1439""","雋揚","N/A","N/A","N/A","7.5529","母公司","N/A","N/A","N/A","N/A","N/A"
"=""1440""","南紡","49,774.6178","本公司個體","本公司個體","74,661.4739","本公司個體","本公司個體","574,617.2277","本公司個體","本公司個體","13.2280"
"=""1441""","大東","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1442""","名軒","N/A","N/A","N/A","28.3100","母公司","N/A","N/A","N/A","N/A","0.5408"
"=""1443""","立益物流","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1444""","力麗","48,638.0218","化纖總廠、假撚總廠","N/A","107,421.9970","化纖總廠、假撚總廠","N/A","N/A","N/A","N/A","24.0535"
"=""1445""","大宇","16,774.5720","僅母公司","N/A","770.6160","母公司","N/A","N/A","N/A","N/A","N/A"
"=""1446""","宏和","4.1044","母公司","N/A","179.5612","母公司","N/A","N/A","N/A","N/A","0.3205"
"=""1447""","力鵬","127,606.0952","楊梅廠區、彰化尼龍總廠","N/A","80,508.7687","楊梅廠區、彰化尼龍總廠","N/A","N/A","N/A","N/A","23.1342"
"=""1449""","佳和","8,513.0299","僅母公司 台南市官田區工業路11號B區","N/A","65,027.5578","僅母公司 台南市官田區工業路11號B區","N/A","2,222.9327","僅母公司 台南市官田區工業路11號B區","N/A","28.1231"
"=""1451""","年興","5,290.4064","台北辦公室+後龍本廠+後龍二廠","台北辦公室+後龍本廠+後龍二廠","15,626.1860","台北辦公室+後龍本廠+後龍二廠","台北辦公室+後龍本廠+後龍二廠","N/A","N/A","N/A","3.2894"
"=""1452""","宏益","62.4141","包含合併財務報表之母子公司","N/A","17,106.5566","包含合併財務報表之母子公司","N/A","N/A","N/A","N/A","14.3162"
"=""1453""","大將","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1454""","台富","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1455""","集盛","23,882.6048","一至五廠區、台北辦事處、子公司蘇州弘又盛","一至五廠區、台北辦事處、子公司蘇州弘又盛","101,061.5811","一至五廠區、台北辦事處、子公司蘇州弘又盛","一至五廠區、台北辦事處、子公司蘇州弘又盛","18,486.5795","一至五廠區、台北辦事處","一至五廠區、台北辦事處","16.1400"
"=""1456""","怡華","7,880.0963","台南官田廠","台南官田廠","25,850.1634","台南官田廠","台南官田廠","N/A","N/A","N/A","N/A"
