"報告年度:2024","議題:投資人溝通"
"公司代號","公司名稱","公司年度召開法說會次數(次)-公司年度召開法說會次數(次)","利害關係人或公司治理專區連結-利害關係人或公司治理專區連結"
"=""2033""","佳大","1","http://www.ctworld.com.tw/%E5%88%A9%E5%AE%B3%E9%97%9C%E4%BF%82%E4%BA%BA%E5%B0%88%E5%8D%80.html"
"=""2034""","允強","1","http://www.ycinox.com"
"=""2038""","海光","1","https://web.hocom.tw/h/DataDetail?key=986075855303&cont=332623"
"=""2049""","上銀","2","http://www.hiwin.tw"
"=""2059""","川湖","12","https://www.kingslide.com/csr_stakeholders_stakeholder"
"=""2062""","橋椿","3","www.sunspring.com.tw"
"=""2069""","運錩","1","www.yuenchang.com.tw/zh-TW/stakeholder"
"=""2101""","南港","1","https://www.nankang-tyre.com/"
"=""2102""","泰豐","1","https://federalcorporation.com.tw/tc/Stakeholder.php"
"=""2103""","台橡","2","https://www.tsrc.com.tw/tw/sustainability/stakeholders/"
"=""2104""","國際中橡","1","http://www.csrcgroup.com"
"=""2105""","正新","2","https://www.cst.com.tw/shareholder_10.php"
"=""2106""","建大","2","https://www.esg.kenda.com.tw/%E6%B0%B8%E7%BA%8C%E7%99%BC%E5%B1%95"
"=""2107""","厚生","1","www.frg.com.tw"
"=""2108""","南帝","2","www.nantex.com.tw"
"=""2109""","華豐","1","https://www.duro.com.tw/tw/investor/stakeholder/"
"=""2114""","鑫永銓","1","https://www.hyc-king.com/esg_tw.php?id=4"
"=""2115""","六暉-KY","1","http://www.luhai.com.tw/ch/investor_detail.asp?id=7"
"=""2201""","裕隆","4","http://www.yulon-motor.com.tw/csr_stakeholder.aspx"
"=""2204""","中華","4","WWW.CHINA-MOTOR.COM.TW"
"=""2206""","三陽工業","2","http://www.sanyang.com.tw/Stakeholder/"
"=""2207""","和泰車","4","https://www.hotaimotor.com.tw/InterestedParties/Identify"
"=""2208""","台船","1","http://www.csbcnet.com.tw/Service/Investor"
"=""2211""","長榮鋼","2","https://www.evergreennet.com/customPage/%E6%B0%B8%E7%BA%8C%E9%81%8B%E4%BD%9C"
"=""2227""","裕日車","2","http://new.nissan.com.tw/nissan/brand/csr#/stakeholder"
"=""2228""","劍麟","4","https://www.irf.biz/5_interestedpeople.html"
"=""2231""","為升","1","http://www.cubelec.com"
"=""2233""","宇隆","3","http://www.turvo.com.tw/interest_area.php"
"=""2236""","百達-KY","1","www.patec-intl.com"
"=""2239""","英利-KY","1","http://www.engley.com.tw/boss_page/id/73/n/50"
"=""2241""","艾姆勒","1","www.amulaire.com"
"=""2243""","宏旭-KY","1","http://www.horngshiue.com/invest.asp"
"=""2247""","汎德永業","2","https://www.pgum.com.tw/zh-tw/investor_interested/index"
"=""2248""","華勝-KY","1","http://hs-elan.tw/investor/stakeholder.html#a"
"=""2250""","IKKA-KY","1","https://www.ikka.com.tw/msg/message-Stakeholder-Area.html"
"=""2254""","巨鎧精密-創","1","https://www.coplus.com.tw/zh-hant/pages/%E5%88%A9%E5%AE%B3%E9%97%9C%E4%BF%82%E4%BA%BA"
"=""2258""","鴻華先進-創","2","https://www.foxtronev.com/tw/investor"
"=""2301""","光寶科","4","https://www.liteon.com/zh-tw/sustainability/stakeholder-engagement"
"=""2302""","麗正","1","www.rectron.com.tw"
"=""2303""","聯電","4","WWW.UMC.COM"
"=""2305""","全友","1","https://microtek.com/tw/stakeholder"
"=""2308""","台達電","33","https://esg.deltaww.com/manage_focus"
"=""2312""","金寶","4","https://www.kinpo.com.tw/zh-TW/stakeholder/"
"=""2313""","華通","4","www.compeq.com.tw/relationship.php"
"=""2314""","台揚","2","https://www.mtigroup.com/zh-tw/stakeholder"
"=""2316""","楠梓電","1","http://www.wus.com.tw/index.php/zh-tw/2017-10-18-03-24-45"
"=""2317""","鴻海","4","https://www.honhai.com/zh-tw/CSR/stake-holder"
"=""2321""","東訊","1","http://www.tecom.com.tw"
"=""2323""","中環","1","https://www.cmcnet.com.tw/tw/esg/8728709aC804"
"=""2324""","仁寶","12","http://www.compal.com/stakeholder-communication-area/"
"=""2327""","國巨","12","WWW.YAGEO.COM"
"=""2328""","廣宇","3","www.panpi.com.tw/tw/sustainability"
"=""2329""","華泰","2","https://www.ose.com.tw/about/about-ose/contact/#investment"
"=""2330""","台積電","4","https://esg.tsmc.com/zh-Hant/sustainable-management/materiality-analysis"
"=""2331""","精英","1","http://www.ecs.com.tw/ECSWebSite/Finance/Finance_List.aspx?MenuID=123&childid=M_123&LanID=1"
"=""2332""","友訊","2","https://company.dlink.com/zh-hant/esg/stakeholder-engagement"
"=""2337""","旺宏","4","https://www.macronix.com/zh-tw/about/CSR/Pages/stakeholder.aspx"
"=""2338""","光罩","1","https://www.tmcnet.com.tw/tw/Sustainable/Communication"
"=""2340""","台亞","1","https://www.tascsemi.com/corporate-sustainability/stakeholders/"
"=""2342""","茂矽","2","https://www.mosel.com.tw/society_5.html"
"=""2344""","華邦電","2","WWW.WINBOND.COM"
"=""2345""","智邦","1","https://www.accton.com.tw/interested/"
"=""2347""","聯強","7","http://www.synnex-grp.com/g03_corporate_02.html"
"=""2348""","海悅","1","www.hiyes-group.com.tw"
"=""2349""","錸德","2","http://www.ritek.com.tw"
"=""2351""","順德","6","www.sdi.com.tw"
"=""2352""","佳世達","4","http://www.qisda.com.tw/page.aspx?uid=50"
"=""2353""","宏碁","19","https://www.acer-group.com/ag/zh/TW/content/stakeholder-grievance-mechanism"
"=""2354""","鴻準","4","https://www.foxconntech.com.tw/CSR/communication-frequency/"
"=""2355""","敬鵬","2","https://www.chinpoon.com/stakeholder"
"=""2356""","英業達","26","https://esg.inventec.com/sustainable-development/communication-with-stakeholders"
"=""2357""","華碩","4","http://csr.asus.com/chinese/index.aspx#121"
"=""2359""","所羅門","2","https://www.solomon.com.tw/stakeholder/"
"=""2360""","致茂","19","https://www.chromaate.com/tw/investors/corporate_governance/stakeholders"
"=""2362""","藍天","4","www.clevo.com.tw"
"=""2363""","矽統","1","www.sis.com"
"=""2364""","倫飛","2","http://www.twinhead.com.tw/rela.php"
"=""2365""","昆盈","2","www.geniusnet.com/tw/investors/stakeholders"
"=""2367""","燿華","2","https://esg.pcbut.com.tw/twww/?p=1924"
"=""2368""","金像電","4","http://www.gce.com.tw/gce_tw/financial.html"
"=""2369""","菱生","1","https://www.lingsen.com.tw"
"=""2371""","大同","2","https://www.tatung.com/tw/info/appeal"
"=""2373""","震旦行","2","https://www.aurora.com.tw/stakeholder"
"=""2374""","佳能","2","www.abilitycorp.com.tw"
"=""2375""","凱美","1","http://jamicon.teapo.com"
"=""2376""","技嘉","2","http://www.gigabyte.tw/gigabyte.aspx?s=-3&p="
"=""2377""","微星","1","http://tw.msi.com/"
"=""2379""","瑞昱","4","www.realtek.com"
"=""2380""","虹光","1","https://www.avision.com/tw/about-avision/crs/grievance-procedure/"
"=""2382""","廣達","18","https://www.quantatw.com/Quanta/chinese/esg/contact_sc.aspx"
"=""2383""","台光電","16","http://www.emctw.com"
"=""2385""","群光","16","https://www.chicony.com"
"=""2387""","精元","2","https://www.sunrex.com.tw/esg/673fe06db09f1"
"=""2388""","威盛","1","https://www.viatech.com/tw/company-overview-tw/investor-relations/"
"=""2390""","云辰","1","https://www.everspring.com"
"=""2392""","正崴","2","http://www.foxlink.com.tw/_ch/1_about/ab_11csr_03.html"
"=""2393""","億光","2","https://www.everlight.com/esg/"
"=""2395""","研華","10","https://esg.advantech.com/zh-tw/sustainability-management/stakeholder-engagement"
"=""2397""","友通","4","https://www.dfi.com/tw/investorrelations/stakeholderservice"
"=""2399""","映泰","1","https://www.biostar.com.tw/app/tw/about/about_stakeholders.php"
"=""2401""","凌陽","2","www.sunplus.com"
"=""2402""","毅嘉","1","http://www.ichia.com/index.php?option=com_content&view=article&id=263&Itemid=1138&lang=tw"
"=""2404""","漢唐","1","http://www.uisco.com.tw"
"=""2405""","輔信","1","https://www.shuttle.com/Investors/Stakeholder?LOCATION_Code=TW"
"=""2406""","國碩","1","http://www.gigastorage.com.tw/investors_contacts.aspx"
"=""2408""","南亞科","17","https://www.nanya.com/ESG/tw/materiality_analysis"
"=""2409""","友達","4","https://csr.auo.com/tw/operating/partners/stakeholder"
"=""2412""","中華電","4","https://www.cht.com.tw/zh-tw/home/cht/esg/sustainable-governance/stakeholders-engagement"
"=""2413""","環科","1","http://www.umec.com.tw/tw/index.php"
"=""2414""","精技","1","https://www.unitech.com.tw/stakeholders.aspx"
"=""2415""","錩新","1","http://www.cxtechnology.com/fund3"
"=""2417""","圓剛","2","https://www.avermedia.com/tw/responsibility"
"=""2419""","仲琦","2","https://www.hitrontech.com/zh-tw/esg/stakeholders/"
"=""2420""","新巨","2","www.zippy.com.tw/tw/07_loop_peo.aspx"
"=""2421""","建準","12","https://www.sunon.com/CSRDetail.aspx?id=9AF723F62937C974"
"=""2423""","固緯","2","https://www.gwinstek.com/zh-TW/1/index"
"=""2424""","隴華","1","http://twse.lunghwa.com.tw/investor.html"
"=""2425""","承啟","1","http://www.chaintech.com.tw/Investors.aspx?cid=3188&type=0"
"=""2426""","鼎元","1","https://www.tyntek.com.tw/responsibility.php?cs=1&sn=71"
"=""2427""","三商電","1","https://www.mds.com.tw/tc/investment_form.php?Class2=22"
"=""2428""","興勤","4","https://www.thinking.com.tw/tw/investor.php?id=10"
"=""2429""","銘旺科","1","https://www.abonmax.com.tw/"
"=""2430""","燦坤","4","https://www.tk3c.com.tw/#stakeholder2&5"
"=""2431""","聯昌","1","https://www.lienchang.com.tw/tw/html/page/page.php?cid=26&cid2=101"
"=""2432""","倚天酷碁-創","3","https://www.acergadget.com/investor/"
"=""2433""","互盛電","2","https://www.eosasc.com.tw/stakeholder"
"=""2434""","統懋","1","http://www.mospec.com.tw/big5/stakeholder.htm"
"=""2436""","偉詮電","3","https://www.weltrend.com.tw/tw/esg/stakeholder"
"=""2438""","翔耀","1","https://www.enlightcorp.com.tw/index.php/enlightcorp-2/page-3/"
"=""2439""","美律","4","https://www.merry.com.tw/page/about/index.aspx?kind=42#"
"=""2440""","太空梭","1","http://www.spaces.com.tw/s/1/faq.html"
"=""2441""","超豐","2","https://www.greatek.com.tw/business2.html"
"=""2442""","新美齊","2","https://www.jean.com.tw/tw/invest-stackholder-platform"
"=""2444""","兆勁","1","http://www.abocom.com.tw"
