報告年度:2024,議題:職業安全衛生,,,,,,
公司代號,公司名稱,職業災害人數及比率-人數,職業災害人數及比率-比率,職業災害-類別,火災-件數,火災-死傷人數,火災-比率(死傷人數/員工總人數)
1795,美時,3,0.00%,,0,0,0
1802,台玻,40,0.10%,,0,0,0
1805,寶徠,0,0.00%,,0,0,0
1806,冠軍,3,0.00%,夾捲、割傷,0,0,0
1808,潤隆,0,0.00%,,0,0,0
1809,中釉,0,0.00%,,0,0,0
1810,和成,0,0.00%,無,0,0,0
1817,凱撒衛,4,2.03%,,0,0,0
1903,士紙,0,0.00%,,0,0,0
1904,正隆,21,0.32%,職業傷害的主要類型為捲夾和跌倒等，無任何職業病案例。針對以上工傷事件，公司採取之措施為加強教育訓練、修訂安全作業規定、更改設備之部分零件，以確保員工在作業中持有安全行為之觀念，同時提供員工安全之工作環境，以期邁向零災害作業環境。,0,0,0
1905,華紙,23,0.79%,捲夾，墜落/跌倒，灼燙傷，觸電，割/擦傷，扭傷，噪音，物體墜落，被撞，壓傷，人因工程，刺傷，化學品噴濺，滑倒,0,0,0
1906,寶隆,0,0.00%,,0,0,0
1907,永豐餘,34,0.34%,,0,0,0
1909,榮成,1,0.10%,,0,0,0
2002,中鋼,19,0.20%,墜落/跌倒、夾傷、灼燙傷、割擦傷、碰撞,6,0,0.00%
2006,東和鋼鐵,21,0.98%,,0,0,0
2007,燁興,1,0.22%,,0,0,0
2008,高興昌,3,1.44%,,0,0,0
2009,第一銅,8,3.33%,,0,0,0.00%
2010,春源,9,1.00%,,1,0,0.00%
2012,春雨,7,1.59%,本廠職業災害類別，彙整113年度發生職業災害計7件，均屬輕微傷害，經本廠廠護初步處理後均可恢復與正常工作。,0,0,0
2013,中鋼構,3,3.27%,碰撞、墜落。,0,0,0
2014,中鴻,2,0.19%,,0,0,0
2015,豐興,9,0.92%,,0,0,0
2017,官田鋼,10,0.04%,,0,0,0
2020,美亞,8,2.44%,被夾、被捲，被切、割，與高低溫接觸，不當動作。,0,0,0
2022,聚亨,0,0.00%,,0,0,0
2023,燁輝,0,0.00%,,0,0,0
2024,志聯,4,2.89%,,0,0,0
