報告年度:2024,議題:人力發展,,,,,,,,,,
公司代號,公司名稱,員工福利平均數(仟元/人)(每年6/2起公開)-員工福利平均數(仟元/人)(每年6/2起公開),員工薪資平均數(仟元/人)(每年6/2起公開)-員工薪資平均數(仟元/人)(每年6/2起公開),非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開),非擔任主管職務之全時員工薪資平均數變動百分比(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數變動百分比(每年7/1起公開),非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開),非擔任主管職務之全時員工薪資中位數變動百分比(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數變動百分比(每年7/1起公開),管理職女性主管占比-管理職女性主管占比,新進員工年齡分布-新進員工年齡分布,離職員工年齡分布-離職員工年齡分布,高齡員工晉用政策及培訓計畫-高齡員工晉用政策及培訓計畫
6176,瑞儀,"1,975","1,764","1,558",28.34%,"1,129",17.60%,20.44%,,,
6177,達麗,"1,545","1,303",970,25.00%,817,15.72%,20.00%,29歲(含)以下：28人 30 - 50歲：50人 51歲(含)以上：3人,29歲(含)以下：34人 30 - 50歲：61人 51歲(含)以上：8人,
6183,關貿,"1,447","1,245","1,284",5.33%,"1,191",6.91%,51.61%,30歲以下：48.78% 30歲-50歲：47.56% 50歲以上：3.66%,30歲以下：37.74% 30歲-50歲：60.38% 50歲以上：1.89%,
6184,大豐電,"1,049",900,700,5.90%,607,5.75%,40.00%,,,
6189,豐藝,"2,067","1,765","1,323",19.40%,"1,081",18.92%,37.00%,,,
6191,精成科,"4,160","3,797","2,125",1.48%,"1,686",-1.63%,21.62%,30歲(含)以下3名；30歲至50歲5名；50歲(含)以上1名,30歲(含)以下1名；30歲至50歲1名；50歲(含)以上7名,
6192,巨路,"1,581","1,391","1,227",6.88%,"1,109",6.33%,17.43%,請參閱本公司永續報告書,請參閱本公司永續報告書,無 
6196,帆宣,"2,049","1,808","1,630",-0.18%,"1,269",-0.47%,8.97%,,,
6197,佳必琪,"1,571","1,401","1,070",14.81%,860,12.71%,43.48%,20-29：23人；30-39：26人；40-49：22人；50-59：5人 ,20-29：22人；30-39：20人；40-49：22人；50-59：5人；60-99：1人 ,支持年滿55歲以上求職者或退休再聘人員 
6201,亞弘電,798,668,682,4.28%,601,-1.15%,3.54%,30歲以下：31人 31～40歲：18人 41～50歲：10人,30歲以下：19人 31～40歲：12人 41～50歲：11人 51歲以上：7人,申請勞動部「114年繼續僱用高齡者補助計畫」
6202,盛群,"1,421","1,182","1,243",4.89%,"1,149",4.45%,19.00%,"新進員工分佈比例：該項員工人數/ 該族群員工總人數 未滿30歲,   41%  30~50歲,     5% 50歲以上,   3%","離職員工分佈比例：該項員工人數/ 該族群員工總人數 未滿30歲,   96%  30~50歲,     26% 50歲以上,   26%",
6205,詮欣,"1,067",917,796,7.71%,659,22.26%,43.00%,,,
6206,飛捷,"1,163","1,019",957,13.79%,756,12.67%,32.00%,,,
6209,今國光,611,490,504,0.00%,464,1.09%,23.08%,,,
6213,聯茂,948,802,777,17.55%,604,5.59%,25.36%,,,
6214,精誠,"1,223","1,022","1,018",1.19%,814,-0.97%,25.16%,,,
6215,和椿,"1,292","1,127","1,075",28.43%,940,26.51%,16.22%,,,
6216,居易,"1,509","1,318","1,059",-1.76%,882,-7.35%,25.00%,,,
6224,聚鼎,"1,275","1,096",898,8.06%,774,11.21%,30.90%,,,
6225,天瀚,831,652,617,-19.13%,755,-1.05%,50.00%,,,
6226,光鼎,"1,193",994,850,11.11%,716,16.23%,30.77%,"29歲(含)以下：4人 30 - 50歲：9人 51歲(含)以上：1人,確認OK","29歲(含)以下：3人 30 - 50歲：6人 51歲(含)以上：0人,確認OK",
6230,尼得科超眾,"1,077",903,867,0.00%,742,4.07%,26.76%,29歲(含)以下：0人 30 - 50歲：1人 51歲(含)以上：0人,29歲(含)以下：12人 30 - 50歲：30人 51歲(含)以上：6人,
6235,華孚,"2,078","1,855",994,-0.30%,911,23.95%,23.81%,,,
6239,力成,988,840,869,8.08%,689,8.50%,9.60%,,,
6243,迅杰,"1,968","1,725","1,513",1.61%,"1,355",1.35%,14.46%,,,
6257,矽格,"1,033",890,858,11.43%,682,7.57%,22.22%,29歲(含)以下：181人 30 - 50歲：212人 51歲(含)以上：6人,29歲(含)以下：122人 30 - 50歲：186人 51歲(含)以上：20人,矽格依循中高齡者及高齡者就業促進法，對求職者或受僱之中高齡者及高齡者，不以年齡為由予以差別待遇，包含因年齡因素對求職者或受僱者為下列事項之直接或間接不利對待： 一、招募、甄試、進用、分發、配置、考績或陞遷等。 二、教育、訓練或其他類似活動。 三、薪資之給付或各項福利措施。 四、退休、資遣、離職及解僱。  矽格各項中高齡者及高齡者政策如下： 1. 公司招募政策：歡迎中高齡求職者，並於外部招募網頁中刊登招募中高齡職缺；核定薪資以經驗為主不受年齡限制。 2. 久任獎勵制度：對於為公司長年付出的資深員工，每年在尾牙舉辦久任員工表揚活動，鼓勵員工持續穩定就業。 3. 舉辦退休餐會：員工退休時舉辦退休餐會，表揚退休員工在公司多年的努力，藉此也鼓勵年輕的員工穩定於職場就業。 4. 優退制度：為讓年資較久因為各項因素想要提前退休者建立優退制度。 5. 退休回任制度：員工因為經濟或其他個人因素在本公司申請退休，退休之後公司亦可安排回任。 6. 公司各項活動設計： →工作與生活平衡：辦理針對中高齡員工健康養生所設計的課程，讓員工更有效的達到工作與生活的平衡的生心靈需求。 →競賽分組制度：為了增加中高齡員工參與率以及成就感，舉凡路跑以及球類體能競賽採分組制度爭取榮耀，亦藉由活動拉近世代的距離。 7. 健康照護：為強化了中高齡及高齡者的健康保護，提供各項中高齡需要的健康檢查項目，確保其工作中的健康和安全。 8. 職務再設計：透過政府相關單位輔導，邀請專家團隊導入各項中高齡職務再設計，透過重新規劃工作流程、設計工作環境、提供科技輔具等讓中高齡及高齡者克服工作障礙、提升工作效能及滿意度。
6269,台郡,778,646,648,0.15%,549,-3.68%,22.05%,新進人數共260人，30歲以下116人，30歲-49歲142人，50歲以上2人,離職人數共699人，30歲以下270人，31歲-49歲382人，50歲以上47人,無
6271,同欣電,"1,053",891,901,-4.96%,765,13.50%,48.68%,30歲以下: 60.73%； 31-50歲: 37.98%； 51歲以上: 1.29%。,30歲以下: 44.85%； 31-50歲: 51.52%； 51歲以上: 3.64%。,
6277,宏正,"1,425","1,211","1,125",0.90%,954,0.63%,15.79%,,,
6278,台表科,911,778,694,5.95%,544,5.84%,35.42%,,,
6281,全國電,886,723,756,-1.18%,687,-2.97%,27.00%,,,
6282,康舒,"1,243","1,056","1,091",2.44%,895,3.59%,13.40%,男性30歲以下54.60%，30-50歲42.40%，50歲以上3.00% 女性30歲以下35.62%，30-50歲54.71%，50歲以上9.67% (新進員工為當年度入職，年底仍為在職者),男性30歲以下53.68% ，30-50歲44.43%，50歲以上1.89% 女性30歲以下38.05%，30-50歲54.44%，50歲以上7.51% (離職員工為當年度完成離職手續者的人員),依勞動法規及公平就業原則辦理招聘與任用，確保招募合規性與多元性。
6283,淳安,"1,144",949,972,3.29%,952,-3.15%,58.33%,,,
6285,啟碁,"1,470","1,272","1,198",2.39%,885,26.07%,18.02%,依照員工類別: 新進間接員工: 未滿30歲比重為53.20%；30-50歲比重為44.85%；大於50歲比重為1.95%； 新進直接員工: 未滿30歲比重為69.38%；30-50歲比重為30.07%；大於50歲比重為0.55%；,依照員工類別: 離職間接員工: 未滿30歲比重為29.71%；30-50歲比重為65.67%；大於50歲比重為4.62%； 離職直接員工: 未滿30歲比重為57.45%；30-50歲比重為41.85%；大於50歲比重為0.7%；,啓碁學院依據工作角色、職務需求、職責層級的發展需求，規劃模組化及系統化的學習地圖，確保員工在職涯不同階段能獲得相應的培訓資源，強化專業技能與管理能力。對於新進人員，透過「新人啓航系列課程」，幫助其快速適應企業文化與工作流程；從事流程改善與品質管理的專業人員則可參與「6 Sigma 系列課程」， 提升數據分析與流程優化能力；針對新任主管，則有「OBP(OnBoarding Plan) 」，涵蓋新任主管制度說明與基礎管理系列課程，學習團隊領導、有效溝通及績效管理等技巧，並透過組織管理個案研習強化實務決策能力。依不同學習地圖，讓同仁可依職務、職責層級選定適用學習地圖，透過系統化、模組化的學習模式，提供清晰的職涯發展指引，確保個人能力與企業成長同步提升，進一步強化組織競爭力。
6405,悅城,811,690,557,3.72%,459,-2.13%,14.00%,27~47 平均35歲,平均45,
6409,旭隼,"2,893","2,677","1,162",-10.20%,832,-5.45%,20.00%,,,
6412,群電,"2,070","1,834","1,888",3.17%,"1,691",4.00%,30.00%,2024年群光電能新進員工年齡分布為: 未滿30歲 66.15%；30至50歲 31.94%；超過50歲 1.91%。,2024年群光電能離職員工年齡分布為: 未滿30歲 64.64%；30至50歲 33.29%；超過50歲 2.07%。,N/A
6414,樺漢,"2,053","1,807","1,449",7.57%,"1,256",10.56%,4.64%,,,
6415,矽力*-KY,N/A,N/A,N/A,,N/A,,18.21%,,,
6416,瑞祺電通,975,815,749,3.60%,640,1.59%,36.17%,,,
6426,統新,780,655,634,2.26%,566,3.28%,0.00%,,,
6431,光麗-KY,N/A,N/A,N/A,,N/A,,11.11%,,,
6438,迅得,"1,089",947,916,5.65%,948,2.38%,6.29%,新進員工年齡分布 (2024共157人) 20歲以下(含)~25歲：32人 25歲~35歲：88人 35歲~45歲：28人 45歲~55歲：9人 55歲~60歲：0人 60歲以上：0人,離職員工年齡分布 (2024共132人) 20歲以下(含)~25歲：31人 25歲~35歲：66人 35歲~45歲：23人 45歲~55歲：11人 55歲~60歲：1人 60歲以上：0人,本公司公平招募原則不因年齡限制任用。 依據本公司工作規則第三條：任用  八、公司不因人種、膚色、年齡、性別、性傾向、性別認同及表達、種族或國籍、失能、懷孕、信仰、政治立場、團體背景、退伍軍人身份、受保護的基因信息或婚姻狀況等在招聘及實際工作中歧視員工，例如因此而影響工資、晉升、獎勵和受訓機會等。應為員工提供適當的場所進行宗教活動。此外，不得讓員工或準員工接受帶有歧視性的醫學檢驗或身體檢查。
6442,光聖,"1,699","1,561","1,039",54.38%,706,33.46%,9.00%,,,
6443,元晶,735,585,588,4.81%,491,3.15%,10.67%,,,
6446,藥華藥,"2,364","2,155","1,190",0.85%,936,1.96%,43.96%,,,
6449,鈺邦,"1,862","1,665","1,272",16.06%,943,19.67%,34.00%,,,
6451,訊芯-KY,N/A,N/A,N/A,,N/A,,26.13%,,,
6456,GIS-KY,N/A,N/A,N/A,,N/A,,17.00%,"30歲以下：共新進1,110名 31-50歲：共新進684名 51歲以上：共新進8名","30歲以下：共1,117名 31-50歲：共1,087名 51歲以上：共27名",1. 依公司需要適當聘用高齡員工，高齡設定為50歲及以上。 2. 高齡員工培訓計畫，核心在於肯定其價值、發揮其優勢、彌補其可能的適應落差，並提供友善的支持環境。其培訓側重點為:   A. 快速融入： 協助高齡新進員工熟悉公司文化、制度、流程與環境。 B.技能提升/更新： 針對崗位需求與員工現有能力落差，提供必要的技能培訓。 C. 優勢發揮： 創造平台，讓高齡員工的經驗、穩定性、人際技巧得以發揮價值。 D. 建立歸屬感： 營造尊重、包容的工作氛圍。 E. 確保安全與健康： 強化職場安全意識，並提供相關健康支持資訊。
6464,台數科,"1,538","1,331",600,2.04%,565,7.21%,63.64%,,,
6472,保瑞,"2,218","2,042",815,6.12%,556,3.35%,44.43%,,,
6477,安集,640,512,557,5.89%,505,5.21%,75.00%,,,
6491,晶碩,"1,082",935,938,5.51%,822,6.20%,34.60%,,,
6504,南六,847,695,602,0.17%,512,-2.10%,19.54%,,,
6505,台塑化,"1,586","1,384","1,452",1.18%,"1,348",1.89%,9.92%,,,
6515,穎崴,"1,572","1,408","1,129",4.44%,915,14.66%,11.90%,29歲(含)以下：119人 30 - 50歲：108人 51歲(含)以上：0人,29歲(含)以下：39人 30 - 50歲：79人 51歲(含)以上：3人,
6525,捷敏-KY,N/A,N/A,N/A,,N/A,,49.55%,,,
6526,達發,"3,906","3,593","3,571",27.35%,"3,049",29.91%,12.76%,30歲(含)以下：54.06、31-50歲：42.34、51歲(含)以上：3.6,30歲(含)以下：27.68、31-50歲：61.61、51歲(含)以上：10.71,
6531,愛普*,"2,809","2,492","1,993",-0.75%,"1,523",-3.18%,7.73%,依年齡區分，30歲以下員工新進率為40.32 %，31-50歲為20.41 %，50歲以上為4.17%。,依年齡區分，30歲以下員工離職率4.84 %，31-50歲離職率19.05 %，50歲以上離職率0%，30歲以下和50歲以上之員工為相對穩定之族群。,無
6533,晶心科,890,650,"2,298",1.28%,"1,917",0.05%,10.14%,,,
6534,正瀚-創,"1,779","1,575","1,253",-6.56%,744,3.33%,27.27%,29歲以下：17人，30-49歲：30人，50歲以上：5人,29歲以下：5人，30-49歲：19人，50歲以上：2人,N/A
6541,泰福-KY,N/A,N/A,N/A,,N/A,,33.33%,泰福生技2024年新進員工小於30歲共2人；31-50歲共11人；50歲以上共8人。,泰福生技2024年離職員工小於30歲共15人；31-50歲共40人；50歲以上共32人。,
6550,北極星藥業-KY,N/A,N/A,N/A,,N/A,,10.00%,,,
6552,易華電,568,486,532,8.57%,499,8.48%,25.00%,,,
6558,興能高,"1,426","1,212",940,2.62%,810,4.92%,26.76%,,,
6573,虹揚-KY,N/A,N/A,N/A,,N/A,,23.30%,29歲以下共計9人；35-50歲共計18人；51歲以上共計7人。,29歲以下共計4人；35-50歲共計10人；51歲以上共計6人。,依性別平等法及員工性別多元化，未有年齡限制，員工聘任原則係以評估能力與職務適任性及員工品德道德為評量指標。
6579,研揚,"1,220","1,080","1,015",-3.61%,905,1.57%,19.63%,未滿30歲：47人 30歲以上 未滿50歲：42人 50歲以上：8人,未滿30歲：34人 30歲以上 未滿50歲：44人 50歲以上：7人,目前尚無相關晉用政策及培訓計畫
6581,鋼聯,"1,406","1,217","1,044",12.50%,"1,003",12.32%,16.00%,30~50歲,30~50歲,
6582,申豐,764,612,643,-4.88%,558,-9.12%,20.83%,新進員工人數佔總員工人數比： <30歲：29% 30-50歲：7% >50歲：11%,離職員工人數佔總員工人數比： <30歲：57% 30-50歲：15% >50歲：25%,本公司屬製造業，男性員工比例較高。公司主要員工所屬年齡層為30-50歲，佔全體員工比例之77.85%。 我們致力於營造公平、友善、尊重與關懷之工作環境，並藉此招募吸引優秀人才。
6585,鼎基,"1,031",890,854,12.52%,771,9.67%,13.04%,,,
6589,台康生技,"1,285","1,093","1,037",2.78%,900,0.22%,42.00%,,,
6591,動力-KY,N/A,N/A,N/A,,N/A,,2.37%,,,
6592,和潤企業,"1,608","1,356","1,294",-4.01%,977,-8.52%,21.05%,2024年新進員工總人數為353人，其中31-50歲佔54%，次多為30歲(含)以下佔41%，51歲以上佔5%,2024年離職員工總人數為375人，其中31-50歲佔59%，次多為30歲(含)以下佔36%，51歲以上佔5%,
6598,ABC-KY,N/A,N/A,N/A,,N/A,,30.77%,,,
6605,帝寶,888,759,801,20.63%,751,24.96%,25.80%,2024年新進員工總數為465人 其中30歲以下有312人、31-50歲有147人、51歲以上有6人,2024年離職員工總數為373人 其中30歲以下有165人、31-50歲有184人、51歲以上有24人,
6606,建德工業,802,678,595,-5.41%,579,-6.31%,27.27%,,,
6625,必應,"1,396","1,249","1,165",1.39%,945,-0.42%,35.00%,,,
6641,基士德-KY,N/A,N/A,N/A,,N/A,,37.00%,,,
6645,金萬林-創,"1,007",839,768,0.39%,642,-0.16%,60.00%,,,
6655,科定,943,839,748,6.10%,667,3.41%,26.47%,,,
6657,華安,"2,164","1,864",831,4.92%,788,-5.63%,38.89%,,,
6658,聯策,"1,089",893,683,1.19%,615,1.49%,26.19%,2024年新進同仁共55人，其中30-50歲計42人為主力族群。,2024年離職員工共44人，其中30-50歲計33人為主力族群,聯策重視人才多元發展，致力於打造具包容性與公平性的職場環境。本公司持續推動多元共融政策，並落實性別平等、機會均等與無歧視原則，讓所有員工無論性別、年齡、身分背景或職務層級，皆能在安全與尊重的工作環境中發揮潛能。
6666,羅麗芬-KY,N/A,N/A,N/A,,N/A,,11.56%,,,
6668,中揚光,834,696,722,8.08%,639,20.34%,22.44%,,,
6669,緯穎,"1,227","1,079","1,035",-19.83%,774,-14.95%,32.96%,,,
6670,復盛應用,"1,003",837,898,0.90%,744,4.20%,21.05%,,,
6671,三能-KY,N/A,N/A,N/A,,N/A,,37.46%,,,
6672,騰輝電子-KY,N/A,N/A,N/A,,N/A,,31.46%,,,
6674,鋐寶科技,"1,164",988,835,0.24%,703,0.14%,11.11%,,,
6689,伊雲谷,"1,196","1,022",832,-17.21%,656,-18.51%,38.00%,,,
6691,洋基工程,"2,569","2,392","1,482",0.95%,"1,139",-3.47%,11.71%,未滿30歲者佔總新進員工49%，30~50歲者佔總新進員工44%，50歲以上者為7%,未滿30歲者佔總離職員工54%，30~50歲者佔總離職員工41%，50歲以上者為5%,依照年度教育訓練計畫實施
6695,芯鼎,"1,989","1,752","1,661",2.78%,"1,561",2.90%,0.11%,113年芯鼎科技共聘用28位新進員工，以滿足公司持續成長的人才需求。其中男性員工21人、女性員工7人，30歲(含)以下的員工佔8.8%為最多。,113年芯鼎科技共離職18位員工。其中男性員工12人、女性員工6人，30歲以下及31歲-40歲員工各佔4.1%為最多。,芯鼎深信，員工的持續成長是企業永續經營的基石。我們透過完善的教育訓練體系，為員工提供多元化的學習機會，以提升專業能力、拓展職涯視野。
6698,旭暉應材,691,565,539,-6.26%,466,-5.28%,25.00%,,,
6706,惠特,780,575,772,1.05%,657,4.95%,12.50%,,,
6715,嘉基,"1,788","1,569","1,055",1.25%,924,-2.94%,25.00%,,,
6719,力智,"1,875","1,620","1,480",17.00%,"1,282",12.95%,17.98%,2024年小於30歲者，男性佔33%，女性佔38%。30-50歲者，男性佔9%，女性佔5%。大於50歲者，男性佔8%，女性佔5%。,2024年小於30歲者，男性佔17%，女性佔13%。30-50歲者，男性佔11%，女性佔10%。大於50歲者，男性佔5%，女性佔0%。,本公司於晉用新進員工時，遵守人權與無歧視政策，每為員工一視同仁，並依照其職務進行內部訓練。
6742,澤米,788,695,653,-1.95%,571,-1.72%,25.00%,男性: 30-50 歲   4.0%、 51 歲以上  1.8%； 女性: 30 歲以下  4.9%、 30-50 歲   3.6%。,30 歲以下  2.9%、 30-50 歲   5.5%、 51 歲以上  1.8%。,短期進行盤點職掌，評估高齡可擔任之職務。
6743,安普新,"1,363","1,190","1,085",11.17%,969,11.76%,23.68%,,,
6753,龍德造船,"1,017",872,832,12.58%,719,12.52%,11.11%,,,
6754,匯僑設計,"1,327","1,141","1,191",14.96%,940,5.98%,21.74%,,,
6756,威鋒電子,"2,492","2,235","2,024",-1.46%,"1,743",4.94%,3.65%,,,
6757,台灣虎航,"2,250","2,076","2,122",26.08%,"1,475",34.58%,42.00%,,,
6768,志強-KY,N/A,N/A,N/A,,N/A,,35.94%,,,
6770,力積電,"1,503","1,286","1,245",13.49%,"1,181",13.01%,28.00%,29歲以下：67.25%； 30-49：30.79%； 50歲以上：1.96%,29歲以下：35.93%； 30-49：56.13%； 50歲以上：7.94%,N/A
6771,平和環保-創,901,776,612,,573,,0.00%,,,
6776,展碁國際,"1,378","1,131","1,068",-0.65%,924,1.20%,45.45%,未滿30歲：36% 30-50歲：60% 50歲以上：3%,未滿30歲以下：22% 30-50歲：70% 50歲以上：8%,本公司依法聘僱，落實機會平等與適才適所，不因年齡、性別、種族等差別對待。招募中高齡與二度就業者，透過多元管道廣納人才，並提供涵蓋健康、紓壓等講座，打造友善職場、支持員工成長與健康發展。
6781,AES-KY,N/A,N/A,N/A,,N/A,,2.73%,,,
6782,視陽,"1,877","1,664","1,414",21.27%,"1,167",19.94%,28.00%,,,
6789,采鈺,"1,560","1,341","1,182",-3.90%,"1,015",-0.39%,21.14%,占全體員工比率：≦ 30歲 12.8%；31~50歲 9.4%；≧ 51歲 0.2%。,占全體員工比率：≦ 30歲 4.0%；31~50歲 6.4%；≧ 51歲 0.2%。,
6790,永豐實,"1,054",864,865,-0.12%,744,-1.06%,32.94%,,,
6792,詠業,952,804,768,6.22%,641,7.01%,19.12%,"年度	2024年 性別	男性	 項目／年齡	 人數	類別人數    新進率（%） 未滿30歲	  15	            43	        34.88 30-50歲	  30           182	        16.48	 51歲以上	    5	            40	        12.50	 性別	女性 未滿30歲	    5	            26	        19.23 30-50歲	  18           167	        10.78	 51歲以上	    2	            41	          4.88	 ","性別	男性	 項目／年齡	       人數	類別總人數	離職率（%）	 未滿30歲       	8	                   43	18.60	 30-50歲	       36	                  182	19.78	 51歲以上	        8	                   40	20.00	 性別	女性 未滿30歲       	14                     26	         53.85 30-50歲	       	26            	167  	15.57 51歲以上	          6	                   41	14.63",
6794,向榮生技-創,"1,055",886,718,,608,,73.00%,,,
6796,晉弘,"1,171",980,"1,044",8.75%,915,7.27%,31.25%,,,
6799,來頡,"2,431","2,183","1,210",18.16%,"1,110",16.11%,18.00%,2024年員工新進人數共計10人，員工整體年新進率為21.28%（女男比例為3：7）；女性3人（占比15.79%）、男性7人（占比25.00%）；30歲以下4人（占比36.36%）、31~50歲5人（占比15.63%）、51歲以上1人（占比25.00%）,2024年員工離職人數共計5人，員工整體年離職率為10.64%（女男比例為4：6），女性2人（占比10.53%）、男性3人（占比10.71%）；30歲以下1人（占比9.09%）、31~50歲2人（占比6.25%）、51歲以上2人（占比50.00%）。,
6805,富世達,"1,862","1,662",869,0.93%,706,-9.72%,1.19%,30歲以下887人、30~50歲 544人、51歲以上8人,30歲以下431人、30~50歲 693人、51歲以上2人,
6806,森崴能源,"1,398","1,235","1,065",-1.02%,834,-8.05%,29.16%,2024 年新進員工年齡分布： 以 31-50 歲族群為主，男女皆佔新進比例最高（皆為 8.66%）。  ,2024 年離職員工年齡分布： 男性以 31-50 歲居多（7.14%），女性則以 30 歲以下最多（3.97%）。,公司持續關注高齡人才之聘用與培育議題，未來將視實際需求規劃相關政策與培訓機制。
6807,峰源-KY,N/A,N/A,N/A,,N/A,,28.70%,,,
6830,汎銓,"1,435","1,149","1,290",5.74%,"1,011",2.22%,27.50%,,,
6834,天二科技,680,564,543,12.42%,487,10.18%,7.56%,,,
6835,圓裕,"1,184","1,015",898,11.69%,826,11.17%,56.18%,,,
6838,台新藥,"3,684","1,550","1,195",,"1,006",,28.57%,20~30歲: 2位 30~40歲: 4位 40~50歲: 1位,20~30歲: 1位 30~40歲: 2位 40~50歲: 1位,本公司113年尚未有此規劃。
6854,錼創科技-KY創,N/A,N/A,N/A,,N/A,,11.00%,18~25：42 25~35：103 35~45：69 45~55：16,8~25：27 25~35：77 35~45：53 45~55：14 55以上：2,符合職缺專業者，依其專業及年資晉用，並提供合適舞台及機會。
6861,睿生光電,"1,256","1,075","1,047",4.39%,931,9.02%,17.14%,睿生依據全球各廠區之當地國情、文化及職務特性，擬定招募策略，善用多元招募行銷管道，除實體徵才活動，並透過線上人力銀行、社群媒體等徵才活動，打破時間地域限制，提升招募廣度。2024年合計招募8人。年齡30歲以下佔5成。,員工總離職率3.46%，其中以30-50歲的離職佔大宗。,針對中高齡和高齡勞工進行危害辨識、風險評估及工作內容工作適性評估，確保樂齡員工工作內容適宜。
6862,三集瑞-KY,N/A,N/A,N/A,,N/A,,30.00%,新進員工年齡分布 113年新進員工總數為1030人，其中男性占比63%，女性占比37％。 以年齡分布分析，30歲以下：男性占比為42％，女性占比為18％；30-50歲： 男性占比為19％，女性占比為17％；50歲以上：男性占比為2％，女性占比為2％，總計為100％。,離職員工年齡分布 113年新進員工總數為784人，其中男性占比63%，女性占比37％。 以年齡分布分析，30歲以下：男性占比為41％，女性占比為19％；30-50歲： 男性占比為21％，女性占比為16％；50歲以上：男性占比為1％，女性占比為2％，總計為100％。,"為建構友善職場環境，本公司持續推動高齡友善政策，以下為現行針對高齡員工之晉用與培訓規劃： 一、晉用政策 本公司一向秉持「適才適所」的用人原則，晉用標準以人選之學經歷與職務需求的契合度為主要考量，不以年齡作為限制條件。此精神亦反映於113年度新進人員之年齡分布，展現公司對於多元年齡人才的高度接納與重視。 二、職位再設計（Job Redesign） 針對高齡同仁，提供更符合其生理節奏與專業經驗的職位設計，包括： •	調整工作內容與流程：依據體能與經驗，調整工作節奏，提升工作舒適度與穩定性。 •	降低體力負荷、強化技能運用：讓高齡員工能專注於其擅長領域，延續價值貢獻。 三、數位素養強化計畫 考量數位化趨勢及高齡員工的實務需求，規劃以下課程與輔導資源： •	基礎電腦技能教學：如文書處理、資料整理、檔案管理等。 •	影音與新媒體操作教學：如簡報錄製、線上會議軟體、內部系統操作等。 四、學習節奏友善調整 為協助高齡同仁順利融入數位學習與在職訓練，公司於課程規劃上採取以下友善措施： •	小班教學、分段課程設計 •	提供實體講義與教學錄影 •	彈性延長學習時限，減低學習焦慮"
6863,永道-KY,N/A,N/A,N/A,,N/A,,29.00%,,,
6869,雲豹能源,"1,627","1,419",928,-12.78%,818,-4.33%,8.13%,,,
6873,泓德能源,"2,176","1,959","1,183",1.98%,959,1.37%,13.20%,本年度新進員工共計148人，其中以30歲以下族群為最多，計有59人，占整體新進人數約39.9%；其次為31至40歲員工，共52人，占比35.1%；41至50歲則有29人，占比19.6%；51歲以上新進員工為8人，占比5.4%。,本年度離職員工共計57人，其中30歲以下離職者為25人，占總離職人數約43.9%；31至40歲離職人數為17人，占比29.8%；41至50歲離職人數為12人，占比21%；51歲以上則有3人，占比5.2%。,不適用
6885,全福生技,"4,377","2,506","1,229",,"1,214",,62.50%,,,
6887,寶綠特-KY,N/A,N/A,N/A,,N/A,,27.97%,"已揭露，見永續報告書「永續環境和社會管理績效數據概覽」-2024年新進員工年齡區間統計	",已揭露，見永續報告書「永續環境和社會管理績效數據概覽」-2024年離職員工年齡分布,已揭露高齡員工晉用政策，與普通員工享有同等機會，見永續報告書「實幹當先 幸福員工職場」「人才吸引与留任」「退休員工重新延揽」章節 未訂定高齡員工培訓計畫
6890,來億-KY,N/A,N/A,N/A,,N/A,,57.94%,未滿30歲為64.30% 30歲(含)~50歲為35.32% 超過50歲為0.38%,未滿30歲為61.56% 30歲(含)~50歲為37.92% 超過50歲為0.53%,
6901,鑽石投資,"3,431","2,633","2,035",6.21%,"1,173",-13.11%,63.64%,,,
6902,GOGOLOOK-創,"1,568","1,350","1,332",-2.27%,"1,211",2.71%,18.18%,,,
6906,現觀科,"1,508","1,302","1,200",,"1,070",,27.00%,,,
6909,創控,"1,377","1,160",,,,,33.33%,,,
6914,阜爾運通,866,710,698,,595,,11.60%,,,
6916,華凌,848,696,664,5.40%,613,0.00%,39.31%,2024年華凌新進員工共346位，其中男性占56.07%、女性占43.93%，年齡層主要集中在31-50歲，約占49.71%。,離職員工共280位，其中男性占56.07%、女性占43.93%，年齡層主要集中在30歲以下，約占50.00%。,
6918,愛派司,N/A,N/A,N/A,,N/A,,47.80%,,,
6919,康霈*,"2,706","2,520",780,,727,,55.56%,,,
6923,中台,994,800,784,,655,,25.00%,29歲(含)以下：13人 30 - 50歲：22人 51歲(含)以上：1人,29歲(含)以下：6人 30 - 50歲：29人 51歲(含)以上：3人,
6924,榮惠-KY創,N/A,N/A,N/A,,N/A,,5.15%,,,
6928,攸泰科技,"1,175","1,011",932,,791,,17.54%,30歲以下佔25.2%、31~50歲佔70.1%、51歲以上佔4.7%,30歲以下佔18%、31~50歲佔71%、51歲以上佔11%,
6931,青松健康,530,434,497,,458,,50.00%,,,
6933,AMAX-KY,N/A,N/A,N/A,,N/A,,40.00%,,,
6936,永鴻生技,"1,230","1,056","1,021",,811,,50.00%,,,
6937,天虹,"1,148",974,875,-6.91%,755,-1.44%,29.51%,,,
