報告年度:2024,議題:人力發展,,,,,,,,,,
公司代號,公司名稱,員工福利平均數(仟元/人)(每年6/2起公開)-員工福利平均數(仟元/人)(每年6/2起公開),員工薪資平均數(仟元/人)(每年6/2起公開)-員工薪資平均數(仟元/人)(每年6/2起公開),非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開),非擔任主管職務之全時員工薪資平均數變動百分比(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數變動百分比(每年7/1起公開),非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開),非擔任主管職務之全時員工薪資中位數變動百分比(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數變動百分比(每年7/1起公開),管理職女性主管占比-管理職女性主管占比,新進員工年齡分布-新進員工年齡分布,離職員工年齡分布-離職員工年齡分布,高齡員工晉用政策及培訓計畫-高齡員工晉用政策及培訓計畫
1316,上曜,"1,624","1,484",757,5.29%,540,-0.18%,30.77%,,,
1319,東陽,871,738,797,6.55%,648,2.86%,13.18%,,,
1321,大洋,922,762,786,2.88%,728,2.54%,10.71%,,,
1323,永裕,695,583,595,-1.00%,529,-3.99%,29.96%,,,
1324,地球,744,604,562,-4.26%,453,-5.82%,4.44%,,,
1325,恆大,615,494,509,0.59%,457,-1.72%,66.67%,"<30歲 2位 , 30~50歲 5位","<30歲 1位 , >50歲 4位", 
1326,台化,"1,595","1,372","1,408",4.14%,"1,279",4.07%,3.76%,,,
1337,再生-KY,N/A,N/A,N/A,,N/A,,0.00%,,,
1338,廣華-KY,N/A,N/A,N/A,,N/A,,22.00%,30歲以下占比56%， 31-40歲占比29%， 41-50歲占比14%， 51歲以上占比1%,30歲以下占比48%， 31-40歲占比32%， 41-50歲占比17%， 51歲以上占比3%,跟隨內部日常培訓計畫培訓
1339,昭輝,771,653,659,-3.09%,508,-1.93%,28.57%,20歲以下-0人  21-30歲-38人 31-40歲-23人 41-50歲-10人 51-60歲-1人,20歲以下-1人 21-30歲-33人 31-40歲-24人 41-50歲-12人 51-60歲-2人,
1340,勝悅-KY,N/A,N/A,N/A,,N/A,,10.00%,,,
1341,富林-KY,N/A,N/A,N/A,,N/A,,25.81%,,,
1342,八貫,863,753,683,4.75%,578,11.58%,28.57%,,,
1402,遠東新,"1,479","1,285","1,092",9.86%,914,9.86%,26.00%,,,
1409,新纖,837,696,717,10.14%,662,4.09%,12.94%,,,
1410,南染,943,835,547,-2.32%,529,5.59%,30.00%,,,
1413,宏洲,746,621,662,9.42%,616,13.65%,11.00%,30歲以下  44% 30-50歲    50% 50歲以上    6%,30歲以下  37% 30-50歲    43% 50歲以上   20%,
1414,東和,619,495,509,4.52%,468,3.31%,12.50%,,,
1416,廣豐,"1,671","1,476",917,8.52%,946,10.64%,41.00%,,,
1417,嘉裕,741,600,557,-2.11%,486,-10.00%,42.11%,30歲以下：30.14% 30~50歲：46.58% 50歲以上：23.29%,30歲以下：27.27% 30~50歲：50.00% 50歲以上：22.73%,
1418,東華,"1,201","1,045",659,9.47%,545,4.61%,19.44%,,,
1419,新紡,922,773,711,1.43%,596,0.00%,53.00%,,,
1423,利華,779,648,576,2.49%,534,7.23%,33.33%,,,
1432,大魯閣,536,434,579,5.27%,495,4.87%,44.00%,新進員工30歲以下佔83.20%，30至50歲佔15.23%，50歲以上佔1.56%,離職員工30歲以下佔80.58%，30至50歲佔17.86%，50歲以上佔1.55%,無
1434,福懋,603,503,555,-1.60%,489,-0.81%,11.72%,,,
1435,中福,"1,310","1,143","1,033",29.29%,625,3.99%,40.00%,,,
1436,華友聯,"1,569","1,276","1,096",16.35%,"1,052",25.69%,50.00%,,,
1437,勤益控,"4,293","4,009",818,5.96%,485,6.59%,66.67%,,,
1438,三地開發,"1,221","1,021",588,25.91%,573,31.42%,20.00%,,,
1439,雋揚,"1,135",969,660,-14.17%,641,-18.45%,50.00%,,,
1440,南紡,757,632,610,-1.45%,558,0.36%,12.39%,,,
1441,大東,"1,370","1,145",603,-0.82%,547,-0.73%,34.60%,本年度新進人員共 9 位，其中年齡集中於30歲以上，佔總人數約67%（5人），顯示新進員工群體年輕化。 整體而言，年齡層分布以年輕族群為主，亦有部分中高齡人才加入，展現出公司年齡多元的用人策略。,本年度離職人員共 5位，其中年齡集中於30-40歲，佔總人數約85%（4人），顯示離職員工群體年輕化。 整體顯示，公司離職員工年齡結構偏年輕，但也要注意 50 歲以上員工的離職情形。,一、晉用政策 招募策略:主動開放特定職缺如技術顧問。 延聘制度:設置退休延聘制度，讓即將退休之員工可延後退休，繼續工作或協助傳承經驗。 健康評估與職務適配:依高齡員工健康與能力，安排適合職務，避免身體負荷過重。  二、培訓計畫 數位技能培訓:基礎電腦操作、企業系統操作、數位會議工具如Teams。 專業經驗轉化:鼓勵高齡員工擔任「內部顧問」，傳承技術與經驗。
1442,名軒,"1,845","1,529","1,269",21.20%,"1,099",7.64%,60.00%,30歲以下1人 31~50歲4人 51歲以上3人,31~50歲4人 51歲以上2人,
1443,立益物流,990,806,676,2.89%,675,3.85%,15.44%,,,
1444,力麗,691,557,544,6.04%,472,5.83%,25.64%,,,
1445,大宇,741,629,608,-11.76%,552,-5.96%,18.00%,截至2024年底，大宇紡織新進員工共30 人，其中在30歲以下的年齡組別中，新進率達 60.00%，而31至50歲的年齡組別則為26.67%。相比之下，51 歲以上的員工新進人數較少，新進率為13.33%。整體年齡結構分佈顯示，大宇紡織在吸引年輕與中壯年人才方面取得了良好成果。,"	本年度離職外籍員工多因居留證期限屆滿而返國，本籍員工則以達成退休條件申請退休或基於個人職涯規劃自願離職為主。此外，彰濱廠因應業務轉型與營運規模調整，於11月進行組織精簡，資遣30名員工。公司秉持照顧員工的原則，提供優於《勞動基準法》規定之資遣費，並另行發放年終獎金，以協助離職員工順利過渡。",
1446,宏和,"1,012",884,661,3.77%,535,3.88%,15.38%,,,
1447,力鵬,797,639,611,9.50%,553,9.50%,24.14%,,,
1449,佳和,674,566,580,10.06%,555,12.35%,8.90%,,,
1451,年興,823,669,846,63.32%,698,48.51%,24.00%,,,
1452,宏益,846,711,665,17.70%,574,18.84%,31.00%,,,
1453,大將,866,704,612,8.32%,596,0.00%,40.00%,,,
1454,台富,688,573,558,0.18%,503,-0.79%,48.89%,,,
1455,集盛,742,628,629,4.31%,568,3.65%,9.09%,30歲含以下85人；31-49歲45人;50歲以上5人,30歲含以下53人；31-49歲68人;50歲以上19人,無
1456,怡華,"1,022",874,593,5.70%,588,5.76%,45.45%,小於30歲2位、31~50歲1位,小於30歲1位、大於51歲4位,本公司高齡員工晉用及屆退未予限制，適才適用並依職能、職缺給予培訓晉用。
