報告年度:2023,議題:董事會,,,,,,
公司代號,公司名稱,董事席次(含獨立董事)(席)-董事席次(含獨立董事)(席),獨立董事席次(席)-獨立董事席次(席),董事出席董事會出席率-董事出席董事會出席率,董事進修時數符合進修要點比率-董事進修時數符合進修要點比率,女性董事席次及比率-席,女性董事席次及比率-比率
2228,劍麟,7,3,100.00%,100.00%,2,28.57%
2231,為升,8,4,94.83%,100.00%,2,25.00%
2233,宇隆,9,3,93.00%,100.00%,0,0.00%
2236,百達-KY,7,4,93.00%,100.00%,2,29.00%
2239,英利-KY,7,3,71.43%,100.00%,0,0.00%
2241,艾姆勒,7,3,97.83%,100.00%,1,14.29%
2243,宏旭-KY,7,3,87.76%,100.00%,1,14.29%
2247,汎德永業,7,3,98.21%,100.00%,2,0.29%
2250,IKKA-KY,9,3,95.06%,100.00%,0,0.00%
2254,巨鎧精密-創,9,3,98.41%,100.00%,2,22.22%
2258,鴻華先進-創,9,4,100.00%,100.00%,3,33.33%
2301,光寶科,8,4,100.00%,100.00%,0,0.00%
2302,麗正,5,4,92.31%,90.00%,4,44.44%
2303,聯電,9,5,100.00%,100.00%,2,22.22%
2305,全友,9,3,92.59%,33.33%,1,11.11%
2308,台達電,12,5,95.83%,100.00%,3,25.00%
2312,金寶,11,3,89.61%,100.00%,2,18.18%
2313,華通,9,3,92.59%,100.00%,1,11.11%
2314,台揚,7,3,91.43%,100.00%,1,14.29%
2316,楠梓電,9,3,90.48%,100.00%,2,22.00%
2317,鴻海,8,5,90.00%,100.00%,2,25.00%
2321,東訊,9,3,93.33%,94.44%,2,22.22%
2323,中環,8,3,95.83%,75.00%,3,37.50%
2324,仁寶,15,3,88.57%,66.67%,0,0.00%
2327,國巨,9,3,82.22%,100.00%,0,0.00%
2328,廣宇,7,4,100.00%,88.88%,2,28.57%
2329,華泰,6,3,100.00%,100.00%,0,0.00%
2330,台積電,10,6,94.00%,20.00%,1,10.00%
2331,精英,5,3,96.36%,100.00%,0,0.00%
2332,友訊,9,3,94.90%,100.00%,1,11.11%
2337,旺宏,15,4,98.10%,100.00%,2,13.33%
2338,光罩,7,3,100.00%,100.00%,2,28.57%
2340,台亞,4,3,100.00%,100.00%,0,0.00%
2342,茂矽,9,4,96.72%,100.00%,1,11.11%
2344,華邦電,11,4,92.73%,100.00%,3,27.27%
2345,智邦,7,4,94.29%,100.00%,1,14.29%
2347,聯強,9,3,94.44%,100.00%,1,11.11%
2348,海悅,13,4,87.50%,84.62%,2,15.38%
2349,錸德,7,3,90.48%,100.00%,2,28.57%
2351,順德,9,4,98.15%,100.00%,0,0.00%
2352,佳世達,9,5,100.00%,100.00%,2,22.22%
2353,宏碁,7,4,95.74%,100.00%,2,28.57%
2354,鴻準,5,3,100.00%,100.00%,0,0.00%
2355,敬鵬,9,3,94.44%,100.00%,2,22.22%
2356,英業達,9,3,98.00%,100.00%,0,0.00%
2357,華碩,15,5,97.78%,100.00%,2,13.33%
2359,所羅門,9,4,100.00%,100.00%,1,11.11%
2360,致茂,9,4,97.56%,100.00%,1,11.11%
2362,藍天,6,2,100.00%,100.00%,0,0.00%
2363,矽統,7,3,95.52%,100.00%,3,42.00%
2364,倫飛,11,4,81.33%,100.00%,2,18.20%
2365,昆盈,7,3,100.00%,100.00%,1,14.29%
2367,燿華,7,3,100.00%,100.00%,1,14.29%
2368,金像電,10,4,90.00%,100.00%,3,30.00%
2369,菱生,9,3,93.00%,100.00%,0,0.00%
2371,大同,9,3,95.96%,100.00%,1,11.11%
2373,震旦行,7,3,96.40%,100.00%,2,28.57%
2374,佳能,9,3,98.00%,100.00%,0,0.00%
2375,凱美,7,3,96.00%,100.00%,0,0.00%
2376,技嘉,11,5,96.40%,100.00%,1,9.09%
2377,微星,11,3,96.97%,100.00%,1,9.09%
2379,瑞昱,10,3,90.00%,30.00%,1,10.00%
2380,虹光,7,4,83.67%,100.00%,0,0.00%
2382,廣達,7,3,97.62%,71.43%,1,14.29%
2383,台光電,7,3,92.86%,100.00%,1,14.29%
2385,群光,8,3,100.00%,100.00%,1,12.50%
2387,精元,7,3,100.00%,14.29%,3,42.86%
2388,威盛,8,4,96.67%,100.00%,1,12.50%
2390,云辰,7,3,88.10%,85.71%,2,28.57%
2392,正崴,9,4,97.00%,100.00%,0,0.00%
2393,億光,8,4,100.00%,100.00%,0,0.00%
2395,研華,9,3,98.41%,100.00%,1,11.11%
2397,友通,7,3,94.29%,100.00%,0,0.00%
2399,映泰,7,3,85.71%,100.00%,1,14.29%
2401,凌陽,7,4,98.21%,100.00%,0,0.00%
2402,毅嘉,7,3,100.00%,100.00%,1,14.29%
2404,漢唐,8,3,95.92%,87.50%,2,25.00%
2405,輔信,7,3,94.23%,100.00%,5,71.43%
2406,國碩,7,3,90.38%,100.00%,2,0.29%
2408,南亞科,12,4,98.33%,91.67%,2,16.67%
2409,友達,8,4,100.00%,100.00%,3,37.50%
2412,中華電,13,5,98.41%,100.00%,3,23.08%
2413,環科,11,4,92.73%,100.00%,1,9.09%
2414,精技,9,4,95.35%,100.00%,1,11.11%
2415,錩新,7,3,100.00%,100.00%,1,14.28%
2417,圓剛,8,4,100.00%,100.00%,1,12.50%
2419,仲琦,9,3,95.56%,100.00%,2,22.22%
2420,新巨,7,3,100.00%,100.00%,1,14.29%
2421,建準,9,4,96.00%,100.00%,3,33.33%
2423,固緯,9,3,100.00%,100.00%,1,11.10%
2424,隴華,9,4,93.65%,66.67%,1,11.11%
2425,承啟,7,4,94.28%,100.00%,1,14.28%
2426,鼎元,7,3,100.00%,100.00%,1,14.29%
2427,三商電,9,4,85.71%,100.00%,0,0.00%
2428,興勤,7,3,95.92%,100.00%,1,14.29%
