報告年度:2023,議題:人力發展,,,,,,,,,,,
公司代號,公司名稱,員工福利平均數(仟元/人)(每年6/2起公開)-員工福利平均數(仟元/人)(每年6/2起公開),員工薪資平均數(仟元/人)(每年6/2起公開)-員工薪資平均數(仟元/人)(每年6/2起公開),非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開),非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開),管理職女性主管占比-管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,職業災害-類別,火災-件數,火災-死傷人數,火災-比率(死傷人數/員工總人數)
1541,錩泰,570,476,485,413,5.51%,0,0.00%,,0,0,0
1558,伸興,"1,211","1,044",821,739,47.00%,5,0.22%,被切、割、擦傷,0,0,0
1560,中砂,973,794,809,740,6.41%,6,0.35%,,0,0,0
1563,巧新,736,613,,,20.25%,2,0.13%,,0,0,0
1568,倉佑,747,618,597,544,22.22%,0,0.00%,,0,0,0
1582,信錦,"1,457","1,277","1,091",984,15.22%,0,0.00%,,0,0,0
1583,程泰,888,728,721,672,23.00%,8,1.98%,,0,0,0
1587,吉茂,693,578,469,439,28.57%,0,0.00%,,0,0,0
1589,永冠-KY,N/A,N/A,N/A,N/A,17.00%,53,2.16%,N/A,1,0,0.00%
1590,亞德客-KY,N/A,N/A,N/A,N/A,9.75%,56,0.63%,,0,0,0
1597,直得,732,606,553,459,4.00%,0,0.00%,,0,0,0
1598,岱宇,705,594,538,471,27.77%,3,0.63%,扭傷、壓傷,0,0,0
1603,華電,722,616,581,510,30.11%,12,2.00%,,0,0,0
1604,聲寶,972,803,824,744,9.66%,6,5.80%,,0,0,0
1605,華新,"1,220","1,090","1,094",889,17.61%,84,0.55%,,0,0,0
1608,華榮,876,730,779,757,12.35%,0,0.00%,上下班公路交通事故、切割擦傷、被夾被捲、不當動作,0,0,0
1609,大亞,"1,682","1,537","1,300","1,186",17.05%,19,2.95%,,1,0,0.00%
1611,中電,793,571,462,462,0.00%,0,0.00%,,0,0,0
1612,宏泰,"1,254","1,090","1,038",932,21.74%,0,0.00%,,0,0,0
1614,三洋電,562,456,574,552,1.72%,8,0.72%,N/A,0,0,0
1615,大山,827,695,691,620,24.00%,1,0.37%,撞傷,0,0,0
1616,億泰,854,721,697,620,17.50%,1,0.48%,,0,0,0
1617,榮星,781,657,625,563,8.55%,0,0.00%,,0,0,0
1618,合機,977,831,794,713,7.65%,6,2.75%,,0,0,0
1626,艾美特-KY,N/A,N/A,N/A,N/A,0.72%,5,0.79%,,0,0,0
1702,南僑,"3,022","2,764","1,185",861,36.90%,42,0.84%,,0,0,0
1707,葡萄王,"1,044",910,845,736,46.59%,5,0.87%,,0,0,0
1708,東鹼,932,772,720,650,42.00%,1,0.53%,製程安全事故,0,0,0
