"報告年度:2023","議題:功能性委員會"
"公司代號","公司名稱","薪酬委員會席次(席)-薪酬委員會席次(席)","薪酬委員會獨立董事席次(席)-薪酬委員會獨立董事席次(席)","薪酬委員會出席率-薪酬委員會出席率","審計委員會席次(席)-審計委員會席次(席)","審計委員會出席率-審計委員會出席率"
"=""2608""","嘉里大榮","3","3","100.00%","3","100.00%"
"=""2609""","陽明","3","3","100.00%","3","100.00%"
"=""2610""","華航","3","2","93.33%","3","86.67%"
"=""2611""","志信","3","2","100.00%","3","100.00%"
"=""2612""","中航","3","2","100.00%","3","100.00%"
"=""2613""","中櫃","3","2","91.67%","3","100.00%"
"=""2614""","東森","4","4","100.00%","4","100.00%"
"=""2615""","萬海","3","2","100.00%","3","95.00%"
"=""2616""","山隆","3","3","100.00%","3","100.00%"
"=""2617""","台航","3","3","100.00%","3","88.89%"
"=""2618""","長榮航","3","3","100.00%","3","100.00%"
"=""2630""","亞航","4","4","100.00%","4","95.83%"
"=""2633""","台灣高鐵","4","4","100.00%","5","100.00%"
"=""2634""","漢翔","3","3","100.00%","3","100.00%"
"=""2636""","台驊投控","3","3","100.00%","1","100.00%"
"=""2637""","慧洋-KY","5","5","86.67%","5","93.33%"
"=""2642""","宅配通","3","3","100.00%","3","100.00%"
"=""2645""","長榮航太","3","3","100.00%","3","100.00%"
"=""2646""","星宇航空","3","3","100.00%","3","100.00%"
"=""2701""","萬企","3","3","100.00%","3","100.00%"
"=""2702""","華園","3","2","100.00%","4","100.00%"
"=""2704""","國賓","3","3","100.00%","3","100.00%"
"=""2705""","六福","3","3","100.00%","4","95.00%"
"=""2706""","第一店","2","2","100.00%","2","100.00%"
"=""2707""","晶華","3","3","88.89%","3","83.33%"
"=""2712""","遠雄來","3","3","100.00%","3","100.00%"
"=""2722""","夏都","3","3","100.00%","3","100.00%"
"=""2723""","美食-KY","4","4","100.00%","4","100.00%"
"=""2727""","王品","4","4","85.71%","4","78.57%"
"=""2731""","雄獅","3","3","100.00%","3","88.24%"
"=""2739""","寒舍","4","4","90.00%","4","88.24%"
"=""2748""","雲品","3","3","100.00%","3","93.33%"
"=""2753""","八方雲集","4","4","100.00%","4","100.00%"
"=""2762""","世界健身-KY","4","4","100.00%","4","95.65%"
"=""2801""","彰銀","3","3","100.00%","3","100.00%"
