報告年度:2023,議題:能源管理,,,
公司代號,公司名稱,使用率(再生能源/總能源)-使用率(再生能源/總能源),資料範圍-資料範圍,驗證標準-取得驗證
2356,英業達,18.54%,"個體公司：英業達股份有限公司，含士林總部(IET)、桃科廠(TAO)、電腦廠(ITO)。 合併報表子公司：英業達(重慶)有限公司(ICC)、英業達科技有限公司(IPT)、上海順詮科技有限公司(SQT)、Inventec (Czech) S.R.O(ICZ)、IEC Technologies, S. de R.L. De C.V.(IMX)。  ",ISO 50001
2357,華碩,30.00%,包含合併財務報表之母子公司,ISO 50001
2359,所羅門,N/A,N/A,N/A
2360,致茂,0.00%,致茂電子總部 ,N/A
2362,藍天,16.18%,台北總部、昆山工廠,ISO 50001
2363,矽統,N/A,N/A,N/A
2364,倫飛,N/A,N/A,N/A
2365,昆盈,0.00%,台北總公司及東莞廠,N/A
2367,燿華,0.00%,燿華電子股份有限公司-二區及宜蘭廠,ISO 50001
2368,金像電,16.20%,包含台灣母公司以及大陸三個子公司,ISO 50001
2369,菱生,N/A,N/A,N/A
2371,大同,N/A,N/A,ISO 50001
2373,震旦行,N/A,N/A,N/A
2374,佳能,0.06%,佳能企業股份有限公司,N/A
2375,凱美,N/A,N/A,N/A
2376,技嘉,0.00%,技嘉科技營運總部、臺北矽谷園區辦公室、桃園南平廠、中國東莞廠和中國寧波廠，其中營運總部涵蓋子公司技鋼科技，臺北矽谷園區辦公室涵蓋子公司百事益國際、盈嘉科技、智力精密工業及孫公司技宸,N/A
2377,微星,6.80%,"微星科技股份有限公司中和廠(微星台北)、恩斯邁電子(深圳)有限公司(恩斯邁電子)及微盟電子(昆山)有限公司(微盟電子),桃園廠無50001","ISO 50001,ISO 14064-1"
2379,瑞昱,0.34%,新竹一、二、三廠；台北、南科辦公室,ISO 50001
2380,虹光,N/A,N/A,N/A
2382,廣達,27.92%,資料範圍： 廣達電腦(股)公司臺灣總部QRDC及廣達台灣製造城QTMC、廣達上海製造城QSMC、廣達重慶製造城QCMC、廣達泰國廠QMB ,ISO 50001
2383,台光電,1.20%,台灣母公司無使用再生能源 再生能源使用率1.2%為大陸子公司所使用,N/A
2385,群光,43.13%,母公司(台北總部)、合併財務報表之子公司(東莞清溪廠、東莞茂瑞廠、蘇州吳江廠、重慶江津廠、泰國廠),ISO 50001
2387,精元,N/A,N/A,N/A
2388,威盛,N/A,N/A,N/A
2390,云辰,N/A,N/A,N/A
2392,正崴,54.88%,正崴主要生產廠區     ,ISO 50001
2393,億光,N/A,樹林總部、苗栗苑裡、苗栗銅鑼、蘇州吳江、廣東中山,N/A
2395,研華,0.00%,台灣,ISO 50001
2397,友通,0.00%,汐止總部、桃園工廠、新店研發辦公室,ISO 50001
2399,映泰,N/A,N/A,N/A
2401,凌陽,0.00%,新竹科學園區新一路19號、19-1號及研發五路6號,N/A
2402,毅嘉,N/A,N/A,N/A
2404,漢唐,N/A,N/A,N/A
2405,輔信,N/A,N/A,N/A
2406,國碩,0.00%,國碩二廠及國碩新豐廠,N/A
2408,南亞科,2.90%,母公司,ISO 50001
2409,友達,1.50%,全球營運據點,ISO 50001
2412,中華電,5.16%,母公司,ISO 50001
2413,環科,N/A,N/A,N/A
2414,精技,N/A,N/A,N/A
2415,錩新,N/A,N/A,N/A
2417,圓剛,N/A,N/A,N/A
2419,仲琦,0.00%,母公司及越南、蘇州子公司,N/A
2420,新巨,0.00%,包含合併財務報表之母子公司,N/A
2421,建準,9.84%,建準電機工業股份有限公司(高雄總部及工廠、台北辦事處) 昆山廣興電子有限公司 北海建準電子有限公司 北海立準電子有限公司 Sunon Electronics Philippines Corp.  Sunon Inc.  Sunon SAS  Sunon Electronics India Private Limited ,N/A
2423,固緯,N/A,N/A,N/A
2424,隴華,N/A,N/A,N/A
2425,承啟,N/A,N/A,N/A
2426,鼎元,0.00%,僅母公司,N/A
2427,三商電,N/A,N/A,N/A
2428,興勤,2.55%,本公司及子公司興勤(宜昌)電子有限公司、江西興勤電子有限公司,N/A
2429,銘旺科,N/A,N/A,N/A
2430,燦坤,N/A,N/A,N/A
2431,聯昌,N/A,N/A,N/A
2432,倚天酷碁-創,0.00%,含合併財務報表之母子公司,ISO 50001
2433,互盛電,N/A,N/A,N/A
2434,統懋,N/A,N/A,N/A
2436,偉詮電,N/A,N/A,N/A
2438,翔耀,N/A,N/A,N/A
2439,美律,23.11%,母公司與部分合併財務報表之子公司,ISO 50001
2440,太空梭,N/A,N/A,N/A
2441,超豐,0.66%,公義廠,N/A
2442,新美齊,N/A,N/A,N/A
2444,兆勁,N/A,N/A,N/A
2449,京元電子,0.00%,全集團,ISO 50001
2450,神腦,0.00%,神腦全據點(含辦公室、特約門市、維修門市及倉儲中心),N/A
2451,創見,0.00%,僅母公司,N/A
2453,凌群,N/A,N/A,N/A
2454,聯發科,N/A,N/A,ISO 50001
2455,全新,0.00%,平鎮廠、平鎮二廠,N/A
2457,飛宏,2.91%,飛宏科技(股)公司(PHT)/馳諾瓦科技(股)公司(ZTM)/飛宏(東莞)電子有限公司(PHC)/飛宏(東莞)電子有限公司鐵松廠區(PHCJ)/越南飛宏有限公司(PHV),N/A
2458,義隆,N/A,N/A,AA1000
2459,敦吉,N/A,N/A,N/A
2460,建通,N/A,N/A,N/A
2461,光群雷,N/A,N/A,N/A
2462,良得電,N/A,N/A,N/A
2464,盟立,N/A,N/A,N/A
2465,麗臺,N/A,N/A,N/A
2466,冠西電,N/A,N/A,N/A
2467,志聖,N/A,N/A,N/A
2468,華經,N/A,N/A,N/A
2471,資通,N/A,N/A,N/A
2472,立隆電,N/A,N/A,N/A
2474,可成,0.00%,母公司台南廠區,N/A
2476,鉅祥,N/A,N/A,N/A
2477,美隆電,N/A,N/A,N/A
2478,大毅,N/A,N/A,N/A
2480,敦陽科,N/A,N/A,N/A
2481,強茂,0.00%,岡山廠,ISO 50001
2482,連宇,N/A,N/A,N/A
2483,百容,N/A,N/A,N/A
2484,希華,N/A,N/A,N/A
2485,兆赫,N/A,N/A,N/A
2486,一詮,N/A,N/A,N/A
2488,漢平,N/A,N/A,N/A
2489,瑞軒,6.39%,母公司與部分合併報表子公司,ISO 50001
2491,吉祥全,N/A,N/A,N/A
2492,華新科,N/A,N/A,N/A
2493,揚博,N/A,N/A,N/A
2495,普安,N/A,N/A,N/A
2496,卓越,N/A,N/A,N/A
2497,怡利電,N/A,N/A,N/A
2498,宏達電,0.15%,範圍以HTC台灣區域為主，涵蓋所有HTC在台灣執行營運的母子公司組織範疇,ISO 50001
2501,國建,N/A,N/A,N/A
2504,國產,N/A,N/A,N/A
2505,國揚,N/A,N/A,N/A
2506,太設,N/A,N/A,N/A
2509,全坤建,N/A,N/A,N/A
2511,太子,N/A,N/A,N/A
2514,龍邦,N/A,N/A,N/A
2515,中工,N/A,N/A,N/A
2516,新建,N/A,N/A,N/A
2520,冠德,0.00%,總公司,N/A
2524,京城,N/A,N/A,N/A
2527,宏璟,N/A,N/A,N/A
2528,皇普,N/A,N/A,N/A
2530,華建,N/A,N/A,N/A
2534,宏盛,N/A,N/A,N/A
2535,達欣工,0.00%,總部大樓+工地,N/A
2536,宏普,N/A,N/A,N/A
2537,聯上發,N/A,N/A,N/A
2538,基泰,N/A,N/A,N/A
2539,櫻花建,N/A,N/A,N/A
2540,愛山林,N/A,N/A,N/A
2542,興富發,N/A,N/A,N/A
2543,皇昌,N/A,N/A,N/A
2545,皇翔,N/A,N/A,N/A
2546,根基,N/A,N/A,N/A
2547,日勝生,N/A,N/A,N/A
2548,華固,N/A,N/A,N/A
2597,潤弘,N/A,N/A,N/A
2601,益航,N/A,N/A,N/A
2603,長榮,N/A,N/A,N/A
2605,新興,N/A,N/A,N/A
