"報告年度:2022","議題:人力發展"
"公司代號","公司名稱","員工福利平均數(仟元/人)(每年6/2起公開)-員工福利平均數(仟元/人)(每年6/2起公開)","員工薪資平均數(仟元/人)(每年6/2起公開)-員工薪資平均數(仟元/人)(每年6/2起公開)","非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)","非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)","管理職女性主管占比-管理職女性主管占比","職業災害人數及比率-人數","職業災害人數及比率-比率"
"=""2007""","燁興","853","617","652","615","5.90%","2","0.45%"
"=""2008""","高興昌","737","591","549","510","10.00%","1","0.46%"
"=""2009""","第一銅","667","533","550","531","3.57%","9","3.63%"
"=""2010""","春源","796","640","702","612","7.91%","22","1.97%"
"=""2012""","春雨","777","671","768","613","19.35%","4","0.71%"
"=""2013""","中鋼構","1878","1637","1599","1410","3.00%","0","0.00%"
"=""2014""","中鴻","1127","833","823","795","3.47%","1","0.09%"
"=""2015""","豐興","1273","1085","1063","965","25.00%","6","0.63%"
"=""2017""","官田鋼","627","512","534","469","27.45%","14","4.84%"
"=""2020""","美亞","849","631","706","638","18.80%","5","1.50%"
"=""2022""","聚亨","741","631","594","536","10.90%","0","0.00%"
"=""2023""","燁輝","1141","867","942","920","3.50%","2","0.00%"
"=""2024""","志聯","740","592","569","518","28.10%","2","1.20%"
"=""2025""","千興","640","513","518","509","25.00%","0","0.00%"
"=""2027""","大成鋼","1848","1717","1698","1458","21.74%","1","0.10%"
"=""2028""","威致","938","698","773","700","40.00%","9","2.37%"
"=""2029""","盛餘","1209","999","1047","975","7.45%","1","0.19%"
"=""2030""","彰源","828","700","655","569","0.00%","4","0.64%"
"=""2031""","新光鋼","1004","822","785","711","34.78%","3","1.09%"
"=""2032""","新鋼","630","494","514","497","11.54%","6","3.20%"
"=""2033""","佳大","707","569","517","505","25.00%","0","0.00%"
"=""2034""","允強","876","717","685","591","17.00%","5","0.62%"
"=""2038""","海光","798","686","659","593","1.11%","2","0.48%"
"=""2049""","上銀","1038","885","940","903","13.34%","41","0.87%"
"=""2059""","川湖","937","809","869","703","26.31%","0","0.00%"
"=""2062""","橋椿","714","585","537","465","47.45%","25","2.60%"
"=""2069""","運錩","734","578","583","512","51.85%","3","0.14%"
"=""2072""","世紀風電","","","","","","",""
"=""2101""","南港","821","699","705","614","0.27%","20","1.90%"
"=""2102""","泰豐","770","618","619","599","9.09%","2","0.40%"
"=""2103""","台橡","1559","1124","1204","1091","26.40%","6","0.37%"
"=""2104""","國際中橡","1754","1391","1420","1268","33.30%","2","0.82%"
"=""2105""","正新","849","729","696","658","0.40%","7","0.14%"
"=""2106""","建大","772","659","638","589","13.98%","11","0.58%"
"=""2107""","厚生","895","782","662","612","1.59%","3","1.60%"
"=""2108""","南帝","1483","1259","1832","1746","0.00%","0","0.00%"
"=""2109""","華豐","695","595","581","527","17.00%","11","1.68%"
"=""2114""","鑫永銓","750","637","534","525","28.00%","0","0.00%"
"=""2115""","六暉-KY","","","","","55.00%","0","0.00%"
