報告年度:2022,議題:溫室氣體排放,,,,,,,,,,,
公司代號,公司名稱,直接(範疇一)溫室氣體排放量-數據(公噸CO₂e),直接(範疇一)溫室氣體排放量-資料邊界,直接(範疇一)溫室氣體排放量-確信範圍,能源間接(範疇二)溫室氣體排放量-數據(公噸CO₂e),能源間接(範疇二)溫室氣體排放量-資料邊界,能源間接(範疇二)溫室氣體排放量-確信範圍,其他間接(範疇三)溫室氣體排放量-數據(公噸CO₂e),其他間接(範疇三)溫室氣體排放量-資料邊界,其他間接(範疇三)溫室氣體排放量-確信範圍,溫室氣體排放密集度-密集度(噸CO2e/單位),溫室氣體排放密集度-單位
1314,中石化,796727,僅母公司,採用ISO 14064驗證標準，預計2023年8月份取得                                                                                                                                                              ,192690,僅母公司,採用ISO 14064驗證標準，預計2023年8月份取得                                                                                                                                                              ,1331732,僅母公司,採用ISO 14064驗證標準，預計2023年8月份取得                                                                                                                                                              ,395324,百萬元營業額
1315,達新,無，非規範對象,,,2688,母公司,,無，無統計相關數據,,,無，無統計相關數據,
1316,上曜,0,包含本公司及營造業子公司上裕營造和永輝室內裝修辦公室工務所及建案餘屋,,213.808,包含本公司及營造業子公司上裕營造和永輝室內裝修辦公室工務所及建案餘屋,,6.4879,包含本公司及營造業子公司上裕營造和永輝室內裝修辦公室工務所及建案餘屋,,0.0054,平方公尺                                                                                                                                                                                                
1319,東陽,9512.8,母公司,,52198.31,母公司,,無，無統計相關數據,,,3.9289,百萬元營業額
1321,大洋,3491,母公司,,40180,母公司,,1506,母公司,,0.3102,產品
1323,永裕,441.623,"永裕塑膠:285.70噸(無驗證) 上海永裕:148.293噸(有驗證) 威瑪精密:7.63噸(無驗證)",ISO 14064,21450.561,"永裕塑膠:11,912.35噸(無驗證) 上海永裕:9,477.021噸(有驗證) 威瑪精密:61.19噸(無驗證)",ISO 14064,2738.18,僅母公司永裕塑膠,,0.0067,"永裕塑膠12,198.05(噸)/1,816,611千元營業額=0.0067                                                                                                                                                        "
1324,地球,4338.7587,母公司(幼一二廠),ISO 14064,2007.6154,母公司(幼一二廠),ISO 14064,2841.0866,母公司(幼一二廠),ISO 14064,9.3463,百萬元營業額
1325,恆大,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1326,台化,4698681,資料係111年度母公司及台醋經第三方查證數據。,ISO 14064,3166588,資料係111年度母公司及台醋經第三方查證數據。,ISO 14064,14488269.07,資料係111年度母公司及台醋經第三方查證數據。,ISO 14064,3084.76,營業額億元                                                                                                                                                                                              
1337,再生-KY,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1338,廣華-KY,1105.58,僅重要子公司東莞廣澤汽車飾件有限公司,,22146.82,僅重要子公司東莞廣澤汽車飾件有限公司,,0,僅重要子公司東莞廣澤汽車飾件有限公司,,0.0003,產品
1339,昭輝,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1340,勝悅-KY,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1341,富林-KY,21296.43,越南子公司,Higg Index (FEM)                                                                                                                                                                                        ,13850.7,越南子公司,Higg Index (FEM)                                                                                                                                                                                        ,無，無統計相關數據,,,2.46,產品
1342,八貫,3164.4237,111年,,4418.4722,111年,,1562.3219,111年,,無，無統計相關數據,
1402,遠東新,1222934,母公司及68家合併財務報表子公司,ISO 14064,1171343,母公司及68家合併財務報表子公司,ISO 14064,8592304,生產事業21個生產據點,ISO 14064,7.24,百萬元營業額
1409,新纖,103082.0121,新光合纖中壢廠,ISO 14064,168666.7777,新光合纖中壢廠,ISO 14064,無，無統計相關數據,,,12.9758,百萬元營業額
1410,南染,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
