"報告年度:2022","議題:董事會"
"公司代號","公司名稱","董事席次(含獨立董事)(席)-董事席次(含獨立董事)(席)","獨立董事席次(席)-獨立董事席次(席)","女性董事席次及比率-席","女性董事席次及比率-比率","董事出席董事會出席率-董事出席董事會出席率","董事進修時數符合進修要點比率-董事進修時數符合進修要點比率"
"=""2367""","燿華","7","3","1","14.29%","100.00%","100.00%"
"=""2368""","金像電","9","3","3","33.33%","98.61%","100.00%"
"=""2369""","菱生","9","3","0","0.00%","100.00%","100.00%"
"=""2371""","大同","8","3","1","12.50%","97.65%","100.00%"
"=""2373""","震旦行","7","3","2","28.57%","98.00%","100.00%"
"=""2374""","佳能","9","3","0","0.00%","96.00%","89.00%"
"=""2375""","凱美","7","3","0","0.00%","90.00%","100.00%"
"=""2376""","技嘉","9","3","0","0.00%","98.77%","100.00%"
"=""2377""","微星","11","3","1","9.09%","100.00%","100.00%"
"=""2379""","瑞昱","10","3","1","10.00%","100.00%","30.00%"
"=""2380""","虹光","7","4","0","0.00%","92.86%","100.00%"
"=""2382""","廣達","7","3","1","14.29%","100.00%","57.14%"
"=""2383""","台光電","7","3","1","14.00%","100.00%","100.00%"
"=""2385""","群光","8","3","1","12.50%","95.83%","100.00%"
"=""2387""","精元","7","3","3","42.86%","100.00%","28.57%"
"=""2388""","威盛","7","3","1","14.00%","100.00%","100.00%"
"=""2390""","云辰","7","3","2","28.57%","100.00%","100.00%"
"=""2392""","正崴","9","3","1","11.11%","100.00%","100.00%"
"=""2393""","億光","9","4","0","0.00%","98.60%","100.00%"
"=""2395""","研華","7","3","1","14.00%","100.00%","100.00%"
"=""2397""","友通","7","3","0","0.00%","96.43%","100.00%"
"=""2399""","映泰","7","3","1","14.28%","97.14%","100.00%"
"=""2401""","凌陽","7","4","0","0.00%","97.96%","100.00%"
"=""2402""","毅嘉","7","3","1","14.29%","100.00%","100.00%"
"=""2404""","漢唐","8","2","2","25.00%","98.11%","75.00%"
"=""2405""","輔信","7","3","4","57.14%","98.00%","100.00%"
"=""2406""","國碩","9","4","3","33.33%","96.36%","100.00%"
"=""2408""","南亞科","12","4","2","16.67%","93.06%","100.00%"
"=""2409""","友達","9","5","4","44.44%","100.00%","100.00%"
"=""2412""","中華電","13","5","3","23.08%","98.30%","100.00%"
