"報告年度:2024","議題:持股及控制力"
"=""1529""","樂事綠能","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1529_20250523F17.pdf"
"=""1530""","亞崴","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1530_20250527F17.pdf"
"=""1531""","高林股","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1531_20250626F17.pdf"
"=""1532""","勤美","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1532_20250617F17.pdf"
"=""1533""","車王電","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1533_20250617F17.pdf"
"=""1535""","中宇","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1535_20250625F17.pdf"
"=""1536""","和大","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1536_20250610F17.pdf"
"=""1537""","廣隆","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1537_20250619F17.pdf"
"=""1538""","正峰","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1538_20250625F17.pdf"
"=""1539""","巨庭","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1539_20250617F17.doc"
"=""1540""","喬福","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1540_20250627F17.pdf"
"=""1541""","錩泰","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1541_20250606F17.pdf"
"=""1558""","伸興","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1558_20250613F17.pdf"
"=""1560""","中砂","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1560_20250619F17.pdf"
"=""1563""","巧新","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1563_20250521F17.pdf"
"=""1568""","倉佑","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1568_20250527F17.pdf"
"=""1582""","信錦","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1582_20250529F17.pdf"
"=""1583""","程泰","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1583_20250529F17.pdf"
"=""1587""","吉茂","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1587_20250604F17.pdf"
"=""1589""","永冠-KY","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1589_20250528F17.pdf"
"=""1590""","亞德客-KY","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1590_20250521F17.pdf"
"=""1597""","直得","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1597_20250528F17.pdf"
"=""1598""","岱宇","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1598_20250528F17.pdf"
"=""1603""","華電","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1603_20250625F17.pdf"
"=""1604""","聲寶","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1604_20250613F17.pdf"
"=""1605""","華新","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1605_20250516F17.pdf"
"=""1608""","華榮","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1608_20250618F17.pdf"
"=""1609""","大亞","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1609_20250523F17.pdf"
"=""1611""","中電","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1611_20250526F17.pdf"
"=""1612""","宏泰","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1612_20250618F17.pdf"
"=""1614""","三洋電","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1614_20250617F17.pdf"
"=""1615""","大山","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1615_20250610F17.pdf"
"=""1616""","億泰","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1616_20250616F17.pdf"
"=""1617""","榮星","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1617_20250619F17.pdf"
"=""1618""","合機","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1618_20250526F17.pdf"
"=""1626""","艾美特-KY","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1626_20250529F17.pdf"
"=""1702""","南僑","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1702_20250603F17.pdf"
"=""1707""","葡萄王","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1707_20250526F17.pdf"
"=""1708""","東鹼","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1708_20250516F17.pdf"
"=""1709""","和益","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1709_20250616F17.pdf"
"=""1710""","東聯","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1710_20250519F17.pdf"
"=""1711""","永光","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1711_20250529F17.pdf"
"=""1712""","興農","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1712_20250526F17.pdf"
"=""1713""","國化","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1713_20250623F17.pdf"
"=""1714""","和桐","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1714_20250528F17.pdf"
"=""1717""","長興","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1717_20250625F17.pdf"
"=""1718""","中纖","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1718_20250611F17.pdf"
"=""1720""","生達","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1720_20250529F17.pdf"
"=""1721""","三晃","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1721_20250611F17.pdf"
"=""1722""","台肥","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1722_20250610F17.pdf"
